foreignWord,pos,gen,nativeWord,translate,les,fullpos,pos_freq,pics,downloaded
zádaj,adj,-,hinten,,3,Adverb ,208,,
zahajati-a,verb,-,hingehen,,9,"Verb, imp ",145,,
zahòd (-óda),noun,m ,Westen,,8,Substantiv ,459,,
"zahteven-vna, -o",adj,-,anspruchsvoll,,9,Adjektiv ,208,,
"zahvaliti se, -i se",verb,-,danken,,7,"Verb, pf ",145,,
zajtrk (-a),noun,m ,Frühstück,,4,Substantiv ,459,,
"zajtrkovati, zajtrkuje",verb,-,frühstücken,,4,"Verb, impf ",145,,
zakaj,adj,-,warum,,13,Adverb ,208,,
žal,adj,-,leider,,11,Adverb ,208,,
žàl,adj,-,leider,,5,Adverb ,208,,
"zanimiv-a, -o",adj,-,interessant,,9,Adjektiv ,208,,
"zanimiv, -a, -o",adj,-,interessant,,14,Adjektiv ,208,,
"zanimivejši, -a, -e",adj,-,interessanter,,14,Adjektiv ,208,,
zanimivo,adj,-,interessant,,13,Adverb ,208,,
zanimívo,adj,-,interessant,,15,Adverb ,208,,
"zapeljati, zapelje",verb,-,fahren,,6,"Verb, pf ",145,,
"zapolnjen-a, -o",adj,-,voll,,9,Adjektiv ,208,,
"zapréti, -è",verb,-,zumachen,,5,"Verb, pf ",145,,
žargón (-a),noun,m ,Jargon,,1,Substantiv ,459,,
"zaspan, -a, -o",adj,-,schläfrig,,6,Adjektiv ,208,,
zavitek (-tka),noun,m ,Strudel,,5,Substantiv ,459,,
zbirka (-e),noun,-,Sammlung,,12,"Substantiv, f ",459,,
zdaj,adj,-,jetzt,,9,Adverb ,208,,
"zdrav, -a, -o",adj,-,gesund,,6,Adjektiv ,208,,
zdrávo,mix,-,Hallo,,2,Interjektion ,32,,
že,adj,-,schon,,13,Adverb ,208,,
zébra (-e),noun,f ,Zebra,,1,Substantiv ,459,http://mrg.bz/1vT9RP,"zebra,zebra1"
"zelèn, zelêna, -o",adj,-,grün,,3,Adjektiv ,208,,
zelena solata,noun,f ,grüner Salat,,5,Substantiv ,459,,
zeleni čaj,noun,m ,grüner Tee,,5,Substantiv ,459,,
"zelenjaven-vna, -o",adj,-,Gemüse-,0,10,Adjektiv ,208,,
zelenjavna juha,noun,f ,Gemüsesuppe,,5,Substantiv ,459,,
"želeti, -i",verb,-,wünschen,,11,"Verb, imp ",145,,
"želézniška postája (-e, -e)",adj,-,Bahn-Bahnhof,,8,Adjektiv ,208,,
"zelje, -a",noun,n ,Kohl,,11,"Substantiv, Sg ",459,,
"zélje, (-a)",noun,-,"Kohl, Sauerkraut",,15,"Substantiv, m ",459,,
zelo,adj,-,sehr,,9,Adverb ,208,,
zeló,adj,-,sehr,,2,Adverb ,208,,
žena (-e),noun,f ,Ehefrau,,7,Substantiv ,459,,
žganci,noun,m ,Getreidebrei,,5,"Substantiv, pl ",459,,
zgodaj,adj,-,früh,,13,Adverb ,208,,
zgodba-e,noun,f ,Geschichte,,9,Substantiv ,459,,
"zgodovinski-a, -o",adj,-,Geschichts-,,9,Adjektiv ,208,,
zgôraj,adj,-,oben,,3,Adverb ,208,,
Zimbabve (-ja),noun,m ,Simbabwe,,1,Substantiv ,459,,
živeti-i,verb,-,leben,,9,"Verb, imp ",145,,
"živeti, živi",verb,-,leben,,12,"Verb, impf ",145,,
"živéti, živí",verb,-,leben,,2,"Verb, impf ",145,,
žívjo oder žívijo,mix,-,Hallo,,2,Interjektion ,32,,
življenje (-a),noun,-,Leben,,12,"Substantiv, n ",459,,
zjutraj,adj,-,"morgens, am Morgen",,4,Adverb ,208,,
Zlatorog pivo,noun,n ,in Slowenien produzierte Biermarken,0,5,Substantiv (Eigennamen) ,459,,
"zméšati, -a",verb,-,zusammenmischen,,15,"Verb, pf ",145,,
znamenitost-i,noun,f ,Sehenswürdigkeit,,9,Substantiv ,459,,
"znan -a, -o",adj,-,bekannt,,13,Adjektiv ,208,,
"znati, -a",verb,-,können,,12,"Verb, impf ",145,,
"znati, zna",verb,-,können,,4,"Verb, impf ",145,,
zófa (-e),noun,f ,Sofa,,1,Substantiv ,459,http://mrg.bz/CaA89c,couch
zraven,prep,-,"daneben, mit-",,13,"Präposition, Gen. ",18,,
zrezek (-zka),noun,m ,Schnitzel,,13,Substantiv ,459,,
zrézek (-zka),noun,m ,Schnitzel,,6,Substantiv ,459,,
zrezek-zka,noun,m ,Schnitzel,,10,Substantiv ,459,,
zvečer,adj,-,"abends, am Abend",,4,Adverb ,208,,
zvečér,adj,-,"am Abend, abends",,15,Adverb ,208,,
"zvédeti, zvé",verb,-,erfahren,,6,"Verb, pf ",145,,
zvoniti-i,verb,-,klingeln,,10,"Verb, impf ",145,,
