foreignWord,pos,gen,nativeWord,translate,les,fullpos,pos_freq,pics,downloaded
"posvéčati se, -a se",verb,-,sich widmen,,16,"Verb, impf ",145,,
pot (-i),noun,f ,Weg,,13,Substantiv ,459,http://mrg.bz/cLZTEm,way
potem,adj,-,dann,,4,Adverb ,208,,
potepanje-a,noun,n ,Bummel,,9,Substantiv ,459,,
potica (-e),noun,f ,"Hefestrudel mit verschiedenen Füllungen, z.B. Walnuss, Estragon, Mohn",,5,Substantiv ,459,,
"potniški-a, -o",adj,-,Passagier-,,9,Adjektiv ,208,,
potovanje (-a),noun,n ,Reise,,13,Substantiv ,459,,
"potrebováti, potrebúje",verb,-,"benötigen, brauchen",,15,"Verb, impf ",145,,
"povabiti, -i",verb,-,einladen,,7,"Verb, pf ",145,,
"povabiti, povabi",verb,-,einladen,,9,"Verb, pf ",145,,
"povedati, pove",verb,-,sagen,,13,"Verb, pf ",145,,
"povzročíti, povzročí",verb,-,verursachen,,16,"Verb, pf ",145,,
"pozabiti, -i",verb,-,vergessen,,7,"Verb, pf ",145,,
pozdràv (-a),noun,m ,"Gruß, Begrüßung",,2,Substantiv ,459,,
"pozdrávljati, -a",verb,-,"grüßen, begrüßen",,2,"Verb, impf ",145,,
pozimi,adj,-,im Winter,,6,Adverb ,208,,
"poznati, -a",verb,-,kennen,,12,"Verb, impf ",145,,
"poznati, -zna",verb,-,kennen,,7,"Verb, impf ",145,,
pozneje,adj,-,später,,12,Adverb ,208,,
pragozd (-a),noun,m ,Urwald,,14,Substantiv ,459,,
prav,adj,-,in Ordnung,,10,Adverb ,208,,
pràv,adj,-,in Ordnung,,5,Adverb ,208,,
pravi čaj,noun,m ,schwarzer Tee,,5,Substantiv ,459,,
"pravi, -a, -o",adj,-,echt,,14,Adjektiv ,208,,
"právi, -a, -o",adj,-,"richtig, echt",,15,Adjektiv ,208,,
"praviti, -i",verb,-,sagen,,7,"Verb, impf / pf ",145,,
právnik (-a),noun,m ,Jurist,,2,Substantiv ,459,,
"prázen -zna, -o",adj,-,leer,,3,Adjektiv ,208,,
praznik (-a),noun,-,Feiertag,,12,"Substantiv, m ",459,,
prebivalec (-lca),noun,m ,Einwohner,,14,Substantiv ,459,,
prebivalka (-e),noun,f ,Einwohnerin,,14,Substantiv ,459,,
pred,prep,-,-,,6,Präposition,18,,
predal (-a),noun,m ,Schublade,,8,Substantiv ,459,,
predavanje-a,noun,n ,Vorlesung,,9,Substantiv ,459,http://mrg.bz/GMf4vb,lecture
"predávanje, (-a)",noun,-,Vorlesung,,15,"Substantiv, n ",459,,
