,foreignWord,pos,gen,nativeWord,translate,les,fullpos,pos_freq,pics,downloaded
528,"pozdrávljati, -a",verb,-,"grüßen, begrüßen",,2,"Verb, impf ",145,,
529,pozimi,adj,-,im Winter,,6,Adverb ,208,,
530,"poznati, -a",verb,-,kennen,,12,"Verb, impf ",145,,
532,pozneje,adj,-,später,,12,Adverb ,208,,
533,pragozd (-a),noun,m ,Urwald,,14,Substantiv ,459,,
534,prav,adj,-,in Ordnung,,10,Adverb ,208,,
536,pravi čaj,noun,m ,schwarzer Tee,,5,Substantiv ,459,,
537,"pravi, -a, -o",adj,-,echt,,14,Adjektiv ,208,,
538,"právi, -a, -o",adj,-,"richtig, echt",,15,Adjektiv ,208,,
540,právnik (-a),noun,m ,Jurist,,2,Substantiv ,459,,
541,"prázen -zna, -o",adj,-,leer,,3,Adjektiv ,208,,
542,praznik (-a),noun,-,Feiertag,,12,"Substantiv, m ",459,,
543,prebivalec (-lca),noun,m ,Einwohner,,14,Substantiv ,459,,
544,prebivalka (-e),noun,f ,Einwohnerin,,14,Substantiv ,459,,
546,predal (-a),noun,m ,Schublade,,8,Substantiv ,459,,
547,predavanje-a,noun,n ,Vorlesung,,9,Substantiv ,459,http://mrg.bz/GMf4vb,lecture
549,"predstavljati si, -a si",verb,-,sich vorstellen,,12,"Verb, impf ",145,,
550,predstavnik (-a),noun,-,Vertreter,,12,"Substantiv, m ",459,,
551,prehod (-a),noun,m ,Übergang,,14,Substantiv ,459,,
552,"prepevati, -a",verb,-,singen,,9,"Verb, imp ",145,,
553,prevajanje-a,noun,n ,Übersetzungsarbeit,,9,Substantiv ,459,,
554,"prevajati, -a",verb,-,übersetzen,,12,"Verb, impf ",145,,
555,Prévalje (ø),noun,Pl. f ,Ort in Slowenien,,2,Substantiv ,459,,
556,prevèč,adj,-,allzu viel,,2,Adverb ,208,,
558,prevod (-a),noun,-,Übersetzung,,12,"Substantiv, m ",459,,
559,"preživeti, -i",verb,-,verbringen,,9,"Verb, pf ",145,,
560,pri,prep,-,bei,,9,Präposition + Lok ,18,,
561,približno,adj,-,ungefähr,,14,Adverb ,208,,
562,priímek (-mka),noun,m ,Nachname,,2,Substantiv ,459,,
563,prijatelj (-a),noun,m ,Freund,,6,Substantiv ,459,,
564,prijateljica (-e),noun,f ,Freundin,,6,Substantiv ,459,,
565,"prikazan-a, -o",mix,-,dargestellt,,9,Partizip ,32,,
566,"pripraviti, -i",verb,-,"zubereiten, vorbereiten",,6,"Verb, pf ",145,,
567,"pripráviti, -i",verb,-,zubereiten,,15,"Verb, pf ",145,,
568,pristanišče-a,noun,n ,Hafen,,9,Substantiv ,459,,
569,"priti, pride",verb,-,kommen,,7,"Verb, pf ",145,,
570,"príti, príde",verb,-,"kommen, gehen",,2,"Verb, pf ",145,,
571,problem (-a),noun,m ,Problem,,13,Substantiv ,459,,
572,"prodajalka, -e",noun,f ,Verkäuferin,,11,Substantiv ,459,,
573,profesor (-ja),noun,m ,Professor,,13,Substantiv ,459,,
575,"prometen, -tna, -o",adj,-,verkehrsreich,,14,Adjektiv ,208,,
576,"prometnejši, -a, -e",adj,-,verkehrsreicher,,14,Adjektiv ,208,,
577,"prosíti, prósi",verb,-,bitten,,5,"Verb, impf ",145,,
578,"prost-a,-o",adj,-,frei,,9,Adjektiv ,208,,
579,prostor (-a),noun,m ,Platz,,6,Substantiv ,459,,
580,"prostóren -rna, -o",adj,-,geräumig,,3,Adjektiv ,208,,
581,proza (-e),noun,-,Prosa,,12,"Substantiv, f ",459,,
582,pršut (-a),noun,m ,Parmaschinken,,5,Substantiv ,459,,
583,pulover (-ja),noun,m ,Pullover,,8,Substantiv ,459,http://mrg.bz/hxVY5v,sweater
585,"puranji -a, -e",adj,-,Truthahn,,10,Adjektiv ,208,,
586,pѓvič,adj,-,das erste Mal,,2,Adverb ,208,,
587,"rad -a, -o",adj,-,gern,,4,Adverb ,208,,
590,rádio (-a),noun,m ,Radio,,1,Substantiv ,459,,
591,ravnina (-e),noun,f ,Ebene,,14,Substantiv ,459,,
592,ravno,adj,-,gerade,,6,Adverb ,208,,
593,"raznolik, -a, -o",adj,-,vielfältig,,14,Adjektiv ,208,,
594,razstava-e,noun,f ,Ausstellung,,9,Substantiv ,459,,
595,"rdeč, -a, -e",adj,-,rot,,14,Adjektiv ,208,,
597,rdeče vino,noun,n ,Rotwein,,5,Substantiv ,459,,
598,recept-a,noun,m ,Rezept,,10,Substantiv ,459,,
599,réd (-a),noun,m ,Ordnung,,2,Substantiv ,459,,
600,réka (-e),noun,f ,Fluss,,3,Substantiv ,459,,
601,rep-a,noun,m ,Schwanz,,9,Substantiv ,459,,
602,repúblika (-e),noun,f ,Republik,,1,Substantiv ,459,,
604,restavrácija (-e),noun,f ,Restaurant,,3,Substantiv ,459,,
605,"ribji-a, -e",adj,-,Fisch-,,9,Adjektiv ,208,,
606,ričet (-a),noun,m ,Gerstengraupensuppe,,5,Substantiv ,459,,
607,riž-a,noun,m/Sg ,Reis,,10,Substantiv ,459,,
608,rižota (-e),noun,f ,Risotto,,5,Substantiv ,459,,
609,"rjàv, rjáva, -o",adj,-,braun,,3,Adjektiv ,208,,
610,"roditi se, -i se",verb,-,geboren werden,,12,"Verb, impf/pf ",145,,
611,"rojstni, -a,-o",adj,-,Geburts-,,7,Adjektiv ,208,,
612,róža (-e),noun,f ,Blume,,3,Substantiv ,459,,
613,róza (unveränderlich),adj,-,rosa,,3,Adjektiv ,208,,
614,rum (-a),noun,m ,Rum,,5,Substantiv ,459,,
615,"rumèn, rumêna, -o",adj,-,gelb,,3,Adjektiv ,208,,
616,Rús (-a),noun,m ,Russe,,1,Substantiv ,459,,
617,"sadje, -a",noun,n ,Obst,,11,"Substantiv, Sg ",459,,
618,sadni čaj,noun,m ,Früchtetee,,5,Substantiv ,459,,
620,"sam, -a, -o",pron,-,"er, sie, es selbst",,6,Pronomen ,28,,
621,samo,adj,-,nur,,10,Adverb ,208,,
623,šampón (-a),noun,m ,Shampoo,,1,Substantiv ,459,,
624,še,adj,-,noch,,6,Adverb ,208,,
625,še (še danes),mix,-,noch (noch heute),,15,Partikel ,32,,
626,sendvič (-a),noun,m ,Sandwich,,5,Substantiv ,459,,
628,septêmber (-bra),noun,m ,September,,1,Substantiv ,459,,
629,sestrična-e,noun,f ,Cousine,,9,Substantiv ,459,,
630,seveda,adj,-,natürlich,,13,Adverb ,208,,
632,sever (-a),noun,m ,Norden,,8,Substantiv ,459,,
633,"severni, -a, -o",adj,-,Nord-,,14,Adjektiv ,208,,
634,severovzhod (-a),noun,m ,Nordosten,,14,Substantiv ,459,,
635,severozahod (-a),noun,m ,Nordwesten,,14,Substantiv ,459,,
636,sicer,mix,-,ansonsten,,14,Konjunktion ,32,,
637,sín (-a),noun,m ,Sohn,,2,Substantiv ,459,,
639,sirov zavitek,noun,m ,Topfenstrudel,,5,Substantiv ,459,,
640,"sív -a, -o",adj,-,grau,,3,Adjektiv ,208,,
641,skladišče-a,noun,n ,Lager,,9,Substantiv ,459,,
642,škoda,mix,-,schade,,11,Interjektion ,32,,
643,škoda-e,noun,f ,Schade,,10,Substantiv ,459,,
644,skuhati -am,verb,-,(fertig) kochen,,10,"Verb, pf ",145,,
645,"skúhati, -a",verb,-,kochen,,15,"Verb, pf ",145,,
646,skupaj,adj,-,zusammen,,6,Adverb ,208,,
647,skúpaj,adj,-,"zusammen, gemeinsam",,15,Adverb ,208,,
648,"slab -a, -o",adj,-,schlecht,,13,Adjektiv ,208,,
651,sladice,noun,f ,Nachspeisen,,5,"Substantiv, pl ",459,,
652,sladoled (-a),noun,m ,Eiscreme,,5,Substantiv ,459,,
653,slavistika (-e),noun,f ,Slawistik,,6,Substantiv ,459,,
654,slika-e,noun,f ,Bild,,9,Substantiv ,459,,
655,"slikati, -a",verb,-,malen,,4,"Verb, impf ",145,,
656,"sliva, -e",noun,f ,Pflaume,,11,Substantiv ,459,,
657,Slovénija (-e),noun,f ,Slowenien,,1,Substantiv ,459,,
658,slovenščina (-e),noun,-,slowenische Sprache,,12,"Substantiv, f ",459,,
659,"slovenski -a, -o",adj,-,slowenisch,,13,Adjektiv ,208,,
662,"slovensko-hrvaški, -a, -o",adj,-,slowenisch-kroatisch,,14,Adjektiv ,208,,
663,smetana-e,noun,f/Sg ,Sahne,,10,Substantiv ,459,,
664,"smučati, -a",verb,-,Ski fahren,,4,"Verb, impf ",145,,
665,sôba (-e),noun,f ,Zimmer,,3,Substantiv ,459,,
667,sok (-a),noun,m ,Saft,,5,Substantiv ,459,,
669,šólar (-ja),noun,m ,Schüler,,2,Substantiv ,459,,
670,solata (-e),noun,f ,Salat,,5,Substantiv ,459,,
672,sónce (-a),noun,n ,Sonne,,2,Substantiv ,459,http://mrg.bz/Tv8cv1,sun
673,sôsed (-a),noun,m ,Nachbar,,2,Substantiv ,459,,
675,"sosednji, -a, -e",adj,-,Nachbar-,,14,Adjektiv ,208,,
676,sošólec (-lca),noun,m ,Mitschüler,,2,Substantiv ,459,,
678,špageti,noun,m ,Spaghetti,,5,"Substantiv, pl ",459,http://mrg.bz/wC1P4O,pasta
679,"speči, speče",verb,-,(fertig) backen,,10,"Verb, pf ",145,,
680,"špinača, -e",noun,f ,Spinat,,11,"Substantiv, Sg ",459,,
681,spodaj,adj,-,unten,,8,Adverb ,208,,
682,spomenik (-a),noun,m ,Denkmal,,8,Substantiv ,459,,
683,"spomniti se, -i se",verb,-,sich erinnern,,12,"Verb, pf ",145,,
684,"spomniti, -i (na+Akk)",verb,-,erinnern an,,7,"Verb, pf ",145,,
685,špórt (-a),noun,m ,Sport,,1,Substantiv ,459,,
686,"spoštován -a, -o",adj,-,geehrt,,2,Adjektiv ,208,,
687,spotoma,adj,-,unterwegs,,6,Adverb ,208,,
688,"spraševati, -šuje",verb,-,fragen,,7,"Verb, impf ",145,,
689,sprehod-oda,noun,m ,Spaziergang,,9,Substantiv ,459,,
690,spretno,adj,-,geschickt,,6,Adverb ,208,,
691,"sréčati, -a",verb,-,treffen,,2,"Verb, pf ",145,,
693,stanovánje (-a),noun,n ,Wohnung,,3,Substantiv ,459,,
694,stanovati-uje,verb,-,wohnen,,9,"Verb, imp ",145,,
695,"stàr , stára, stáro",adj,-,alt,,2,Adjektiv ,208,,
698,"starejši, -a, -e",adj,-,älter,,14,Adjektiv ,208,,
699,stárost (-i),noun,f ,Alter,,2,Substantiv ,459,,
700,starši (-ev),noun,"m, Pl. ",Eltern,,7,Substantiv ,459,,
702,"stati,stoji",verb,-,stehen,,9,"Verb, imp ",145,,
703,stávba (-e),noun,f ,Gebäude,,3,Substantiv ,459,,
704,števílka (-e),noun,f ,Nummer,,2,Substantiv ,459,,
705,"štirje, štiri",mix,-,vier,,10,Numerale ,32,,
706,stol (-a),noun,m ,Stuhl,,8,Substantiv ,459,http://mrg.bz/LAVMLr,chair
708,stran (-i),noun,f ,Seite,,8,Substantiv ,459,,
709,stríc (-a),noun,m ,Onkel,,2,Substantiv ,459,,
711,študènt (-a),noun,m ,Student,,1,Substantiv ,459,,
712,"študirati, -a",verb,-,studieren,,4,"Verb, impf ",145,,
713,"stuširati se, -a se",verb,-,duschen,,4,"Verb, pf ",145,,
714,stvar (-i),noun,f ,Sache,,8,Substantiv ,459,,
715,súper,adj,-,super,,2,Adverb ,208,,
716,svetlo pivo,noun,n ,helles Bier,,5,Substantiv ,459,http://mrg.bz/uyFUbJ,lightbeer
717,Sveto pismo (-ega -a),noun,-,Heilige Schrift,,12,"Substantiv, n ",459,,
718,"svež, -a, -e",adj,-,frisch,,6,Adjektiv ,208,,
719,"ta, ta, to",pron,-,"dieser, diese, dieses",,13,"Demonstrativpronomen, m/f/n ",28,,
720,"tá, tá, tó",pron,-,das,,3,Demonstrativpronomen ,28,,
721,takó,adj,-,so,,2,Adverb ,208,,
722,takój,adj,-,sofort,,5,Adverb ,208,,
724,tam,adj,-,dort,,13,Adverb ,208,,
726,"tánek -nka, -o",adj,-,dünn,,3,Adjektiv ,208,,
727,teden-dna,noun,m ,Woche,,9,Substantiv ,459,,
728,telefón (-a),noun,m ,Telefon,,1,Substantiv ,459,http://mrg.bz/kFA3wa,"telephone,telephone1"
730,"telefónski -a, -o",adj,-,Telefon-,,2,Adjektiv ,208,,
731,televizija (-e),noun,f ,Fernsehen,,6,Substantiv ,459,,
732,"telovaditi, -i",verb,-,turnen,,4,"Verb, impf ",145,,
733,temno pivo,noun,n ,dunkles Bier,,5,Substantiv ,459,http://mrg.bz/oVLrp8,darkbeer
734,tést (-a),noun,m ,Test,,1,Substantiv ,459,,
735,teta-e,noun,f ,Tante,,10,Substantiv ,459,,
737,tja,adj,-,dorthin,,9,Adverb ,208,,
738,točeno pivo,noun,n ,gezapftes Bier,,5,Substantiv ,459,,
739,toliko,adj,-,so viel,,14,Adverb ,208,,
740,topli napitki,noun,m ,Heisse Getränke,,5,Substantiv /pl ,459,,
741,torba-e,noun,f ,Tasche,,9,Substantiv ,459,,
742,torta (-e),noun,f ,Torte,,5,Substantiv ,459,,
743,tŕg (-a),noun,m ,"Platz, Markt",,3,Substantiv ,459,,
744,trgovína (-e),noun,f ,Geschäft,,8,Substantiv ,459,,
746,"tržnica, -e",noun,f ,Markt,,11,Substantiv ,459,,
747,tudi,mix,-,auch,,4,Konjunktion ,32,,
748,"tuj, -a, -e",adj,-,fremd,,14,Adjektiv ,208,,
749,tukaj,adj,-,hier,,10,Adverb ,208,,
751,turíst (-a),noun,m ,Turist,,1,Substantiv ,459,,
752,"turístičen, -a, -o",adj,-,touristisch,,15,Adjektiv ,208,,
753,"turistični, -a, -o",adj,-,Tourist-,,6,Adjektiv ,208,,
754,"tvój, tvôja, -e",pron,-,dein,,3,Possessivpronomen ,28,,
755,učíteljica (-e),noun,f ,Lehrerin,,2,Substantiv ,459,,
756,učiti-i,verb,-,unterrichten,,9,"Verb, imp ",145,,
757,úlica (-e),noun,f ,Straße,,8,Substantiv ,459,,
758,umétnik (-a),noun,m ,Künstler,,2,Substantiv ,459,,
759,"umreti, -e",verb,-,sterben,,12,"Verb, pf ",145,,
760,unija (-e),noun,f ,Union,,14,Substantiv ,459,,
762,univêrza (-e),noun,f ,Universität,,1,Substantiv ,459,,
763,"upati, -a",verb,-,hoffen,,13,"Verb, impf ",145,,
764,uporabiti-i,verb,-,verwenden,,9,"Verb, pf ",145,,
766,ura (-e),noun,f ,Stunde,,6,Substantiv ,459,,
767,úra (-e),noun,f ,"Uhr, Stunde",,1,Substantiv ,459,,
768,urnik-a,noun,m ,Stundenplan,,9,Substantiv ,459,,
769,"uspešen, -šna, -o",adj,-,erfolgreich,,14,Adjektiv ,208,,
770,"uspešnejši, -a, -e",adj,-,erfolgreicher,,14,Adjektiv ,208,,
771,"utrújen, -a, -o",adj,-,müde,,6,Adjektiv ,208,,
772,v,prep,-,in,,13,"Präposition, Akk. ",18,,
773,vabilo (-a),noun,n ,Einladung,,7,Substantiv ,459,,
774,vaza (-e),noun,f ,Vase,,7,Substantiv ,459,,
775,včasih,adj,-,manchmal,,6,Adverb ,208,,
777,večér (-a),noun,m ,Abend,,2,Substantiv ,459,,
778,večerja (-e),noun,f ,Abendessen,,6,Substantiv ,459,,
780,"večji, -a, -e",adj,-,größer,,14,Adjektiv ,208,,
781,večkrat,adj,-,öfter,,9,Adverb ,208,,
782,"vedeti, ve",verb,-,wissen,,14,Verb/impf ,145,,
783,vedno,adj,-,immer,,10,Adverb ,208,,
784,vegetarijánec (-nca),noun,m ,Vegetarier,,1,Substantiv ,459,,
785,"velik, -a, -o",adj,-,groß,,14,Adjektiv ,208,,
787,veliko,adj,-,viel,,12,Adverb ,208,,
788,veliko pivo,noun,n ,großes Bier,,5,Substantiv ,459,,
789,vendar,mix,-,aber,,6,Konjunktion ,32,,
790,"vesel, -a,-o",adj,-,froh,,7,Adjektiv ,208,,
791,"veseliti se, -i se",verb,-,sich freuen,,13,"Verb, impf ",145,,
793,veselje-a,noun,n ,Freude,,9,Substantiv ,459,,
794,"vídeti, -i",verb,-,sehen,,8,"Verb, impf / pf ",145,,
797,vino (-a),noun,n ,Wein,,5,Substantiv ,459,http://mrg.bz/DAmoAa,"wine,wine1"
799,"visok, -a, -o",adj,-,hoch,,14,Adjektiv ,208,,
800,vitamin (-a),noun,m ,Vitamin,,6,Substantiv ,459,,
801,víza (-e),noun,f ,Visa,,1,Substantiv ,459,,
802,vôda (-e),noun,f ,Wasser,,5,Substantiv ,459,,
803,vrata-ø,noun,n/Pl ,Tür,,10,Substantiv ,459,,
804,vreme (-mena),noun,n ,Wetter,,13,Substantiv ,459,,
805,"vrniti se, vrne se",verb,-,zurückkehren,,6,"Verb, pf ",145,,
806,vroča čokolada (-e/-e),noun,f ,Heiße Schokolade (sehr dickflüssig),,5,Substantiv ,459,,
807,vrtnica (-e),noun,f ,Rose,,7,Substantiv ,459,,
808,"vsak -a, -o",adj,-,jeder,,4,Adjektiv ,208,,
809,vsè,adj,-,alles,,5,Adverb ,208,,
810,vsi,pron,-,alle,,7,Pronom ,28,,
813,"vstati, vstane",verb,-,"aufstehen, sich erheben",,4,"Verb, pf ",145,,
814,"vzéti, vzáme, vzemi!",verb,-,nehmen,,15,"Verb, pf ",145,,
815,vzhòd (-óda),noun,m ,Osten,,8,Substantiv ,459,,
816,z,prep,-,aus,,2,Präposition (+Gen) ,18,,
817,z ali brez,mix,-,mit oder ohne (Sahne),,5,Redewendung ,32,,
819,zabava (-e),noun,f ,"Fest, Party",,7,Substantiv ,459,,
820,"zabavati se, -a se",verb,-,"sich unterhalten, sich vergnügen",,4,"Verb, impf ",145,,
821,začetek (-tka),noun,-,Anfang,,12,"Substantiv, m ",459,,
822,"začéti, -čnè",verb,-,"anfangen, beginnen",,8,"Verb, pf ",145,,
823,"začeti, začne",verb,-,anfangen,,6,"Verb, pf ",145,,
824,zádaj,adj,-,hinten,,3,Adverb ,208,,
825,zahajati-a,verb,-,hingehen,,9,"Verb, imp ",145,,
826,zahòd (-óda),noun,m ,Westen,,8,Substantiv ,459,,
827,"zahteven-vna, -o",adj,-,anspruchsvoll,,9,Adjektiv ,208,,
828,"zahvaliti se, -i se",verb,-,danken,,7,"Verb, pf ",145,,
829,zajtrk (-a),noun,m ,Frühstück,,4,Substantiv ,459,,
830,"zajtrkovati, zajtrkuje",verb,-,frühstücken,,4,"Verb, impf ",145,,
831,zakaj,adj,-,warum,,13,Adverb ,208,,
832,žal,adj,-,leider,,11,Adverb ,208,,
834,"zanimiv-a, -o",adj,-,interessant,,9,Adjektiv ,208,,
836,"zanimivejši, -a, -e",adj,-,interessanter,,14,Adjektiv ,208,,
839,"zapeljati, zapelje",verb,-,fahren,,6,"Verb, pf ",145,,
840,"zapolnjen-a, -o",adj,-,voll,,9,Adjektiv ,208,,
841,"zapréti, -è",verb,-,zumachen,,5,"Verb, pf ",145,,
842,žargón (-a),noun,m ,Jargon,,1,Substantiv ,459,,
843,"zaspan, -a, -o",adj,-,schläfrig,,6,Adjektiv ,208,,
844,zavitek (-tka),noun,m ,Strudel,,5,Substantiv ,459,,
845,zbirka (-e),noun,-,Sammlung,,12,"Substantiv, f ",459,,
846,zdaj,adj,-,jetzt,,9,Adverb ,208,,
847,"zdrav, -a, -o",adj,-,gesund,,6,Adjektiv ,208,,
849,že,adj,-,schon,,13,Adverb ,208,,
850,zébra (-e),noun,f ,Zebra,,1,Substantiv ,459,http://mrg.bz/1vT9RP,"zebra,zebra1"
851,"zelèn, zelêna, -o",adj,-,grün,,3,Adjektiv ,208,,
852,zelena solata,noun,f ,grüner Salat,,5,Substantiv ,459,,
853,zeleni čaj,noun,m ,grüner Tee,,5,Substantiv ,459,,
855,zelenjavna juha,noun,f ,Gemüsesuppe,,5,Substantiv ,459,,
856,"želeti, -i",verb,-,wünschen,,11,"Verb, imp ",145,,
857,"želézniška postája (-e, -e)",adj,-,Bahn-Bahnhof,,8,Adjektiv ,208,,
858,"zelje, -a",noun,n ,Kohl,,11,"Substantiv, Sg ",459,,
859,"zélje, (-a)",noun,-,"Kohl, Sauerkraut",,15,"Substantiv, m ",459,,
860,zelo,adj,-,sehr,,9,Adverb ,208,,
862,žena (-e),noun,f ,Ehefrau,,7,Substantiv ,459,,
863,žganci,noun,m ,Getreidebrei,,5,"Substantiv, pl ",459,,
864,zgodaj,adj,-,früh,,13,Adverb ,208,,
865,zgodba-e,noun,f ,Geschichte,,9,Substantiv ,459,,
866,"zgodovinski-a, -o",adj,-,Geschichts-,,9,Adjektiv ,208,,
867,zgôraj,adj,-,oben,,3,Adverb ,208,,
868,Zimbabve (-ja),noun,m ,Simbabwe,,1,Substantiv ,459,,
869,živeti-i,verb,-,leben,,9,"Verb, imp ",145,,
873,življenje (-a),noun,-,Leben,,12,"Substantiv, n ",459,,
874,zjutraj,adj,-,"morgens, am Morgen",,4,Adverb ,208,,
876,"zméšati, -a",verb,-,zusammenmischen,,15,"Verb, pf ",145,,
877,znamenitost-i,noun,f ,Sehenswürdigkeit,,9,Substantiv ,459,,
878,"znan -a, -o",adj,-,bekannt,,13,Adjektiv ,208,,
879,"znati, -a",verb,-,können,,12,"Verb, impf ",145,,
881,zófa (-e),noun,f ,Sofa,,1,Substantiv ,459,http://mrg.bz/CaA89c,couch
882,zraven,prep,-,"daneben, mit-",,13,"Präposition, Gen. ",18,,
883,zrezek (-zka),noun,m ,Schnitzel,,13,Substantiv ,459,,
886,zvečer,adj,-,"abends, am Abend",,4,Adverb ,208,,
887,zvečér,adj,-,"am Abend, abends",,15,Adverb ,208,,
888,"zvédeti, zvé",verb,-,erfahren,,6,"Verb, pf ",145,,
889,zvoniti-i,verb,-,klingeln,,10,"Verb, impf ",145,,
