,foreignWord,pos,gen,nativeWord,translate,les,fullpos,pos_freq,pics,downloaded
212,jug (-a),noun,m ,Süden,,8,Substantiv ,459,,
213,jugozahod (-a),noun,m ,Südwesten,,14,Substantiv ,459,,
214,juha (-e),noun,f ,Suppe,,5,Substantiv ,459,,
216,júnij (-a),noun,m ,Juni,,1,Substantiv ,459,,
217,jutri,adj,-,morgen,,13,Adverb ,208,,
218,kaj (česa),pron,-,etwas,,11,Pronomen ,28,,
219,"kaj, česa",pron,-,(et)was,,10,Indefinitpronomen ,28,,
220,"káj, čésa",pron,-,was,,3,Fragepronomen ,28,,
221,kakav (-a),noun,m ,Kakao,,5,Substantiv ,459,,
222,kakó,pron,-,wie,,3,Fragepronomen ,28,,
223,"kákšen -šna, -o",pron,-,"wie, was für ein",,3,Interrogativpronom ,28,,
224,"kakšen, -šna, -o",pron,-,"was für ein/eine/ein, wie",,12,Interrogativpronomen ,28,,
225,kam,pron,-,wohin,,13,Interrogativpronomen ,28,,
226,kamilični čaj,noun,m ,Kamillentee,,5,Substantiv ,459,,
227,kapučino (-a),noun,m ,Cappuccino,,5,Substantiv ,459,http://mrg.bz/hIzuzC,"cappucino,cappucino1"
229,kàr,adj,-,ziemlich,,2,Adverb ,208,,
230,kárta (-e),noun,f ,Karte,,1,Substantiv ,459,,
231,katalóg (-a),noun,-,Katalog,,15,"Substantiv, m ",459,,
232,kava (-e),noun,f ,Kaffee,,5,Substantiv ,459,,
234,kava s smetano,noun,f ,Kaffee mit Sahne,,5,Substantiv ,459,,
235,kdaj,pron,-,wann,,12,Interrogativpronomen ,28,,
236,ker,mix,-,weil,,13,Konjunktion ,32,,
237,"kila, -e",noun,f ,Kilogramm (umgspr.),,11,Substantiv ,459,,
238,"kilogram, -a",noun,m ,Kilogramm,,11,Substantiv ,459,,
239,kíno (-a),noun,m ,Kino,,1,Substantiv ,459,,
240,kiosk (-a),noun,m ,Kiosk,,8,Substantiv ,459,,
241,"kísel, -la, -lo",adj,-,sauer,,15,Adjektiv ,208,,
243,"kislo zelje (-ega, -a)",noun,n ,Sauerkraut,,5,Substantiv ,459,,
244,"kitájski -a, -o",adj,-,chinesisch,,3,Adjektiv ,208,,
245,"kivi, -ja",noun,m ,Kiwi,,11,Substantiv ,459,http://mrg.bz/T6mtQG,kiwi
246,kje,pron,-,wo,,8,Interrogativpronomen ,28,,
247,kljúb tému,mix,-,trotzdem,,9,Konjunktion ,32,,
248,knjiga (-e),noun,-,Buch,,12,"Substantiv, f ",459,,
251,"knjižévnost, -i",noun,f ,Literatur,,16,Substantiv ,459,,
252,ko,mix,-,als,,9,Konjunktion ,32,,
253,kokakola (-e),noun,f ,Coca Cola,,5,Substantiv ,459,http://mrg.bz/GWBE6j,coke
254,kokta (-e),noun,f ,slowenische Cola,,5,Substantiv ,459,,
255,"kolesáriti, -i",verb,-,Rad fahren,,4,"Verb, impf ",145,,
256,koliko,pron,-,"wieviel, wie viele",,11,Interrogativpronomen ,28,,
257,kônec (-nca),noun,m ,Ende,,9,Substantiv ,459,,
258,"kônjski -a, -o",adj,-,Pferde-,,9,Adjektiv ,208,,
259,kopalnica (-e),noun,f ,Bad,,8,Substantiv ,459,,
260,korenina (-e),noun,-,Wurzel,,12,"Substantiv, f ",459,,
261,"korenje, -a",noun,n ,Karotte,,11,"Substantiv, Sg ",459,http://mrg.bz/WmzcFu,carots
262,kosílo (-a),noun,n ,Mittagessen,,6,Substantiv ,459,,
263,kot,mix,-,"als, wie",,14,Konjunktion ,32,,
265,kotlet (-a),noun,m ,Kotelett,,5,Substantiv ,459,,
266,"kràj , krája",noun,m ,Ort,,2,Substantiv ,459,,
267,"kranjska klobasa (-e, -e)",noun,f ,Krainer Wurst,,5,Substantiv ,459,,
268,kremšnita (-e),noun,f ,Cremeschnitte,,5,Substantiv ,459,,
269,krompir (-ja),noun,m ,Kartoffel,,13,Substantiv ,459,http://mrg.bz/QQ9MBO,potato
273,kruh (-a),noun,m/Sg ,Brot,,13,Substantiv ,459,http://mrg.bz/TiFD6J,bread
276,kuhinja (-e),noun,f ,Küche,,13,Substantiv ,459,http://mrg.bz/NvUzIm,kitchen
279,kulísa (-e),noun,f ,Kulisse,,9,Substantiv ,459,,
280,kultura (-e),noun,-,Kultur,,12,"Substantiv, f ",459,,
281,"kulturni -a, -o",adj,-,Kultur-,,13,Adjektiv ,208,,
282,"kupíti, kúpi",verb,-,kaufen,,9,"Verb, impf ",145,,
283,kústosinja (-e),noun,f ,Kuratorin,,2,Substantiv ,459,,
284,"láčen -čna, -o",adj,-,hungrig,,5,Adjektiv ,208,,
285,ládja (-e),noun,f ,Schiff,,9,Substantiv ,459,http://mrg.bz/kxeURE,ship
286,ládjica (-e),noun,f ,Boot,,6,Substantiv/Diminutiv ,459,,
287,"láhek -hka, -o",adj,-,leicht,,2,Adjektiv ,208,,
288,lahko,mix,-,"können, kann",,10,Modalwort / Prädikativ ,32,,
289,lahkó,mix,-,können Sie/ kannst du?,,5,Modalausdruck ,32,,
290,láni,adj,-,voriges Jahr,,9,Adverb ,208,,
291,ledena kava,noun,f ,Eiskaffee,,5,Substantiv ,459,,
292,ledeni čaj,noun,m ,Eistee,,5,Substantiv ,459,,
293,lekarna (-e),noun,f ,Apotheke,,8,Substantiv ,459,,
294,lékcija (-e),noun,f ,Lektion,,1,Substantiv ,459,,
295,léktor (-ja),noun,m ,"Lektor, Sprachlehrer",,1,Substantiv ,459,,
296,"lép -a, -o",adj,-,schön,,3,Adjektiv ,208,,
298,"lepši, -a, -e",adj,-,schöner,,14,Adjektiv ,208,,
299,leto (-a),noun,n ,Jahr,,13,Substantiv ,459,,
301,létos,adj,-,in diesem Jahr,,9,Adverb ,208,,
302,léva (-e),noun,f ,linke Seite,,3,Substantiv ,459,,
303,"ležati, leži",verb,-,liegen,,14,"Verb, impf ",145,,
304,líla (unveränderlich),adj,-,lila,,3,Adjektiv ,208,,
305,limóna (-e),noun,f ,Zitrone,,1,Substantiv ,459,http://mrg.bz/cTqNat,lemon
306,limonada (-e),noun,f ,Limonade,,5,Substantiv ,459,,
307,limonáda (-e),noun,f ,Zitronenlimonade,,6,Substantiv ,459,,
308,lipov čaj,noun,m ,Lindenblütentee,,5,Substantiv ,459,,
309,"liter, litra",noun,m ,Liter,,11,Substantiv ,459,,
312,"ljubljánski -a, -o",adj,-,Ljubljanaer,,9,Adjektiv ,208,,
314,"lubenica, -e",noun,f ,Wassermelone,,11,Substantiv ,459,,
315,"lúksuzen -zna, -o",adj,-,Luxus-,,9,Adjektiv ,208,,
316,magistrat (-a),noun,m ,Rathaus,,8,Substantiv ,459,,
317,máj (-a),noun,m ,Mai,,1,Substantiv ,459,,
318,"májhen -hna, -o",adj,-,klein,,3,Adjektiv ,208,,
319,málica (-e),noun,f ,Imbiss,,9,Substantiv ,459,,
320,malo pivo,noun,n ,kleines Bier,,5,Substantiv ,459,,
321,máma (-e),noun,f ,Mama,,1,Substantiv ,459,,
322,"mandarina, -e",noun,f ,Mandarine,,11,Substantiv ,459,,
323,"manjši, -a, -e",adj,-,kleiner,,14,Adjektiv ,208,,
324,"marelica, -e",noun,f ,Aprikose,,11,Substantiv ,459,,
325,marmeláda (-e),noun,f ,Marmelade,,6,Substantiv ,459,http://mrg.bz/779lXm,jam
326,máslo (-a),noun,n ,Butter,,6,Substantiv ,459,http://mrg.bz/UwiCyP,butter
327,"mati, matere",noun,-,Mutter,,12,"Substantiv, f ",459,,
328,meja (-e),noun,f ,Grenze,,14,Substantiv ,459,,
329,"mejni, -a, -o",adj,-,Grenz-,,14,Adjektiv ,208,,
330,"meriti, -i",verb,-,messen,,14,"Verb, impf ",145,,
