index,111a4,111a5,111a6,112a4,112a5,112a6,113a4,113a5,113a6
жалость,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
жарить,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
жать,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ждать,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
же,5.0,1.0,1.0,11.0,9.0,3.0,7.0,5.0,4.0
желание,1.0,0.0,0.0,11.0,0.0,0.0,5.0,0.0,0.0
желать,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0
желтый,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
жена,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
женский,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
женщина,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
живой,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
живот,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
жизнь,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0
жирный,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
жить,3.0,0.0,0.0,5.0,0.0,3.0,3.0,0.0,4.0
жук,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
жутко,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
жучка,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0
жучок,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
з,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
за,2.0,4.0,4.0,4.0,7.0,3.0,3.0,7.0,8.0
забежать,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
забирать,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
забить,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
заболеть,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
забор,0.0,9.0,0.0,0.0,23.0,0.0,0.0,25.0,0.0
забрать,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
забыть,2.0,1.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0
заведение,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
завернуть,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0
завтра,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
завязать,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
загадать,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
зад,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
задание,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0
задача,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
задрожать,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
задуматься,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
зайти,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
заказать,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
заканчивать,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
заканчиваться,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0
закинуть,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
закончить,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
закончиться,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
закрыть,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
закрыться,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
залазить,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
залезть,0.0,0.0,10.0,0.0,1.0,5.0,0.0,0.0,14.0
заменять,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
заметить,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
заниматься,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0
заплакать,1.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0
запрыгнуть,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
запустить,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
зарезать,3.0,0.0,0.0,2.0,0.0,0.0,6.0,0.0,0.0
заснуть,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
застукать,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
захватить,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
заходить,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
захотеть,0.0,0.0,1.0,1.0,0.0,3.0,1.0,0.0,1.0
захотеться,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0
зачем,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
звать,1.0,1.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0
зверь,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
зверюшко,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
звучать,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
зд,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
здание,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
здесь,2.0,3.0,2.0,11.0,3.0,6.0,1.0,5.0,1.0
здоровый,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
злиться,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
зло,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0
злобно,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
злой,4.0,0.0,0.0,4.0,0.0,1.0,3.0,0.0,1.0
злость,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
зн,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
зна,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
знать,31.0,11.0,4.0,33.0,17.0,16.0,43.0,6.0,12.0
значит,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0
значить,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0
золото,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
золотой,6.0,0.0,0.0,14.0,0.0,0.0,9.0,0.0,0.0
зоопарк,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
зря,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
зу,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
зубной,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
зум,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0
и,234.0,186.0,151.0,148.0,118.0,127.0,168.0,159.0,151.0
иван,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
ига,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
игра,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
играть,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
иде,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
идти,6.0,33.0,0.0,5.0,146.0,1.0,5.0,161.0,2.0
из,2.0,0.0,0.0,5.0,1.0,3.0,5.0,1.0,2.0
извинить,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
извиниться,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
изготавливать,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
измениться,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
изначально,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
или,4.0,2.0,1.0,13.0,2.0,3.0,31.0,6.0,20.0
именно,0.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0
имя,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
ин,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
иначе,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
иногда,0.0,0.0,0.0,1.0,0.0,0.0,8.0,0.0,0.0
интересоваться,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
искать,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
иснуть,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
исполнение,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
исполнить,1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0
исполнять,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
использовать,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
испортить,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
испуганно,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
испугаться,0.0,0.0,1.0,2.0,0.0,5.0,0.0,0.0,10.0
ист,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
история,1.0,0.0,0.0,2.0,0.0,0.0,8.0,0.0,3.0
итак,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
итог,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
их,5.0,3.0,0.0,0.0,1.0,0.0,3.0,4.0,1.0
ихний,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
йо,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
к,5.0,27.0,4.0,12.0,52.0,5.0,12.0,62.0,7.0
ка,0.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0
каж,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
каждый,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,3.0
кажется,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
казаться,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0
как,7.0,14.0,16.0,31.0,28.0,31.0,47.0,46.0,52.0
какой,1.0,1.0,0.0,2.0,1.0,5.0,3.0,6.0,2.0
калитка,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
камень,0.0,2.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0
кампус,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
кан,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
канал,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
каникулы,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
кар,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
карета,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
картина,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
картинка,1.0,0.0,0.0,4.0,13.0,0.0,4.0,17.0,3.0
катя,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
квадрат,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
квадратик,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
квадратный,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
квартира,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0
кивнуть,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
кидать,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
кинуть,2.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0
клад,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
кладовка,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0
класс,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
классно,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
классный,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
книга,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
книжка,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
книзу,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ко,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
ковер,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ког,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
когда,1.0,3.0,2.0,10.0,4.0,10.0,12.0,14.0,10.0
кол,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
колба,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
колбас,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
колбаса,0.0,8.0,20.0,0.0,21.0,58.0,0.0,23.0,73.0
колбаск,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
колбаска,0.0,1.0,15.0,0.0,3.0,7.0,0.0,2.0,9.0
количество,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
командировка,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
комната,0.0,1.0,0.0,2.0,0.0,1.0,2.0,0.0,1.0
комод,0.0,0.0,6.0,0.0,0.0,10.0,0.0,0.0,15.0
конец,1.0,0.0,1.0,1.0,8.0,1.0,17.0,21.0,4.0
конечно,0.0,0.0,0.0,4.0,0.0,0.0,7.0,1.0,1.0
конфетка,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
кораблик,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
корабль,0.0,3.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
корее,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
коричневый,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0
корокий,0.0,0.0,0.0,8.0,5.0,8.0,1.0,0.0,2.0
короткий,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
корыто,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
кос,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
коса,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
косо,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
костер,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
кость,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
кот,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
который,0.0,0.0,0.0,3.0,1.0,8.0,12.0,5.0,10.0
кошка,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
край,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
красиво,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
красивый,2.0,1.0,0.0,4.0,1.0,2.0,0.0,0.0,0.0
красный,0.0,0.0,0.0,0.0,4.0,1.0,0.0,3.0,0.0
крестик,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
крестика,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
криво,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
крикнуть,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
кричать,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
кровь,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
крокодил,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
круг,0.0,15.0,0.0,0.0,20.0,0.0,0.0,17.0,0.0
круглый,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
кругом,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
кружок,0.0,1.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
кружочек,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
крупный,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
крутить,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
кстати,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
кто,0.0,0.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0
ку,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
кувырок,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
куда,0.0,1.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0
кузя,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
купить,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
кусок,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0
кусочек,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,0.0
кухня,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
кушать,10.0,0.0,8.0,20.0,0.0,9.0,8.0,0.0,3.0
ла,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0
ладно,1.0,3.0,0.0,3.0,6.0,2.0,0.0,3.0,2.0
лапка,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ле,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
лев,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
левый,0.0,8.0,0.0,0.0,36.0,0.0,0.0,32.0,0.0
легкий,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
лежать,1.0,0.0,4.0,0.0,0.0,11.0,0.0,0.0,17.0
лезть,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
лена,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
лес,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
лесенка,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
лестница,0.0,0.0,3.0,0.0,0.0,5.0,0.0,0.0,1.0
летать,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
лететь,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
летний,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
лечь,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
ли,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
лиз,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
лиза,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
линия,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0
линкс,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
лиса,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
лист,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
листочек,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
лицо,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
лично,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ловить,6.0,0.0,0.0,7.0,0.0,0.0,14.0,0.0,0.0
ловля,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
лодка,0.0,13.0,0.0,0.0,30.0,0.0,0.0,40.0,0.0
ложка,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
лужайка,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
лучхой,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
лучше,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
лучший,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
любимый,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
любить,1.0,0.0,7.0,2.0,0.0,2.0,2.0,0.0,4.0
любоваться,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
любой,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
любящий,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
м,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
ма,2.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0
магазин,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0
макс,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
маленек,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
маленькая,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0
маленький,16.0,0.0,2.0,14.0,1.0,1.0,17.0,2.0,7.0
маленько,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,0.0
мало,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
малый,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0
мальчик,42.0,0.0,0.0,24.0,0.0,1.0,34.0,0.0,0.0
малюсенький,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
мама,2.0,1.0,0.0,4.0,0.0,1.0,2.0,4.0,1.0
ман,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
мар,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
мас,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
махать,14.0,0.0,1.0,3.0,0.0,2.0,0.0,0.0,1.0
маше,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
машина,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
медведь,7.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
медленный,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
между,0.0,0.0,0.0,0.0,4.0,0.0,0.0,11.0,0.0
меньхой,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
менять,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
мертвый,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
место,2.0,0.0,1.0,6.0,2.0,0.0,4.0,5.0,1.0
месяц,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
метр,1.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0
мечтать,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0
ми,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
миа,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
миллиметр,9.0,0.0,0.0,4.0,2.0,2.0,2.0,0.0,0.0
милый,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
мимо,0.0,14.0,0.0,0.0,5.0,2.0,0.0,19.0,1.0
минимум,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
минута,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
миска,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
мистер,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
миш,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
миша,2.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
мишка,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
мм,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ммм,1.0,0.0,1.0,61.0,0.0,0.0,15.0,0.0,0.0
мммм,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0
многий,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
много,1.0,0.0,3.0,7.0,1.0,2.0,10.0,2.0,1.0
мо,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0
может,0.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,1.0
можно,5.0,0.0,1.0,3.0,8.0,3.0,10.0,2.0,2.0
мозг,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
мой,7.0,0.0,1.0,4.0,0.0,3.0,2.0,0.0,0.0
молодец,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
молоко,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
момент,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0
мораль,0.0,0.0,0.0,1.0,0.0,0.0,7.0,0.0,0.0
море,6.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
моряк,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
мочь,3.0,2.0,5.0,23.0,8.0,10.0,22.0,4.0,18.0
му,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
мужик,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
мужчина,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0
мультик,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
мультфильм,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
мусс,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
мы,6.0,59.0,5.0,19.0,11.0,0.0,15.0,37.0,0.0
мясо,0.0,0.0,7.0,0.0,3.0,8.0,2.0,0.0,0.0
мяч,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
мячик,3.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
н,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
на,30.0,53.0,42.0,39.0,79.0,70.0,53.0,100.0,82.0
набраться,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
наверно,1.0,0.0,0.0,0.0,0.0,6.0,19.0,4.0,11.0
наверное,1.0,0.0,0.0,7.0,0.0,0.0,4.0,0.0,2.0
наверх,0.0,82.0,8.0,0.0,45.0,7.0,0.0,44.0,6.0
наверху,0.0,5.0,1.0,0.0,5.0,3.0,0.0,2.0,8.0
навести,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
наградить,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
над,0.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0
надевать,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
надеть,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
надо,6.0,84.0,0.0,18.0,17.0,4.0,13.0,18.0,3.0
надпись,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
наеться,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
назад,3.0,0.0,0.0,11.0,2.0,1.0,2.0,1.0,1.0
назвать,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0
называться,1.0,5.0,2.0,2.0,5.0,3.0,0.0,1.0,3.0
наискосок,0.0,2.0,0.0,0.0,7.0,0.0,0.0,5.0,0.0
найти,1.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0
найтись,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
нак,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
наказать,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
