index,111a4,111a5,111a6,112a4,112a5,112a6,113a4,113a5,113a6
ванин,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ваня,0.0,0.0,0.0,4.0,0.0,0.0,5.0,0.0,0.0
вариант,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
вась,1.0,0.0,0.0,3.0,0.0,4.0,5.0,0.0,0.0
вася,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
вверх,0.0,10.0,0.0,0.0,13.0,0.0,0.0,13.0,0.0
вверху,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
вдоль,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0
вдруг,0.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,2.0
вегетарианка,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ведро,7.0,0.0,0.0,2.0,0.0,0.0,10.0,0.0,0.0
ведь,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
везде,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
везти,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
век,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
веревка,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
верно,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
вернуться,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
верх,0.0,3.0,2.0,0.0,1.0,0.0,0.0,6.0,0.0
верхний,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0
вес,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
веселиться,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
вести,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
весь,1.0,1.0,2.0,6.0,4.0,5.0,4.0,3.0,1.0
вещество,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
вещь,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
взгляд,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
взобраться,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0
взять,5.0,1.0,22.0,11.0,3.0,19.0,7.0,0.0,21.0
взяться,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0
ви,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
вид,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
видеть,3.0,9.0,5.0,9.0,2.0,14.0,7.0,17.0,3.0
видно,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0
вийти,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
вилка,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0
вилочка,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
вилы,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
виноватый,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
виновный,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
витамин,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
вкруг,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
вкусно,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
вкусный,0.0,0.0,0.0,5.0,0.0,8.0,2.0,0.0,2.0
влево,0.0,18.0,0.0,0.0,12.0,0.0,0.0,4.0,0.0
влюбляться,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
вместе,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0
вместо,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
вначале,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
вниз,0.0,92.0,4.0,0.0,67.0,2.0,0.0,45.0,1.0
внизу,0.0,9.0,1.0,0.0,4.0,0.0,0.0,6.0,2.0
во,0.0,3.0,0.0,1.0,2.0,1.0,2.0,4.0,0.0
вода,21.0,0.0,0.0,20.0,0.0,1.0,10.0,0.0,0.0
водичка,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
водичок,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
водяной,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
воевать,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
военный,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
воз,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
воздух,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
воздушный,0.0,3.0,0.0,0.0,6.0,0.0,0.0,12.0,0.0
возле,0.0,10.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0
возраст,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
вокруг,0.0,5.0,0.0,0.0,12.0,0.0,0.0,22.0,1.0
волшебство,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
воля,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
вон,1.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
вообще,0.0,0.0,0.0,4.0,0.0,1.0,7.0,0.0,5.0
вопрос,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
ворон,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ворона,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
ворота,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
восемь,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
