index,sm1,sm2,sm3,sm4,sm5
Zin,6,18,6,7,17
Zins,0,0,0,0,1
Zir,2,52,2,41,65
Zis,24,24,24,24,26
Zit,21,21,21,36,21
Zix,2,2,2,2,2
Zj*a,49,47,50,0,49
Zj*aN,0,2,0,0,0
Zj*am,13,13,13,0,13
Zj*an,2,2,1,0,2
Zj@,1,1,1,0,1
Zju,7,7,7,0,7
Zm*u,4,5,5,0,5
Zm*ut,2,1,1,0,1
Zu,4,4,4,4,4
b*a,573,754,849,783,713
b*a2,4,2,2,4,4
b*a4,14,1,1,14,5
b*a7,40,0,0,19,21
b*aF,2,0,0,2,2
b*aL,18,1,1,1,19
b*aN,8,9,1,8,8
b*aT,5,3,3,5,3
b*ab,3,0,0,3,0
b*ad,0,0,0,3,0
b*af,11,0,0,0,7
b*aj,11,3,3,11,12
b*ajs,3,3,3,3,3
b*ak,12,12,12,12,12
b*akst,1,1,1,1,1
b*al,33,33,10,33,33
b*am,8,9,7,7,9
b*an,91,101,8,19,95
b*ank,9,9,9,9,9
b*ans,0,0,0,0,7
b*ap,13,2,2,13,2
b*ar,25,22,1,23,21
b*ars,3,3,3,3,8
b*art,0,1,0,0,1
b*as,12,6,5,6,13
b*ask,0,0,0,1,0
b*at,8,1,0,8,1
b*av,14,0,0,0,0
b*ax,10,10,10,10,10
b*ek,1,1,1,1,1
b*o,1553,1879,2215,1681,1844
b*o4,10,0,0,10,6
b*oF,34,34,34,34,34
b*oL,335,325,22,319,336
b*oR,0,1,0,0,0
b*oS,5,5,5,5,5
b*oT,1,0,0,1,0
b*od,91,0,0,84,0
b*odr,0,0,0,3,0
b*odrs,0,0,0,0,3
b*of,13,14,13,14,14
b*oj,204,187,180,217,219
b*ok,46,41,41,41,41
b*ol,2,3,2,23,8
b*om,37,45,29,29,45
b*omp,1,1,1,1,1
b*on,2,1,0,2,1
b*op,1,1,1,1,1
b*or,73,62,34,82,84
b*or3,2,2,2,2,2
b*ors,0,0,0,0,1
b*ort,5,5,5,6,5
b*os,6,2,2,2,2
b*ot,164,27,27,172,27
b*ov,28,0,0,1,1
b*u,692,856,848,766,810
b*u7,8,6,6,8,9
b*uL,1,1,0,1,1
b*uT,38,26,26,38,26
b*ud,9,0,0,0,0
b*uj,13,0,0,13,8
b*ujs,0,0,0,0,5
b*uk,28,2,2,2,2
b*ukf,3,3,3,3,3
b*ul,4,4,0,4,4
b*uls,1,1,1,1,1
b*um,5,5,5,5,5
b*un,4,5,1,2,5
b*unt,1,1,1,1,1
b*ur,30,36,0,61,58
b*ur5,0,0,0,2,2
b*urk,0,14,0,15,14
b*urs,0,0,0,0,6
b*us,1,3,1,3,3
b*ut,51,0,0,51,0
b*ux,7,0,0,6,6
b*y,884,1372,1342,1161,1262
b*y4,208,0,0,208,0
b*yL,5,2,1,1,5
b*yT,209,209,209,210,209
b*yf,112,8,8,8,8
b*yk,2,2,2,2,2
b*yl,217,216,216,217,216
b*ym,9,9,9,9,9
b*ys,124,0,0,0,124
b*ystr,1,1,1,1,1
b*yt,24,10,10,24,10
b*yv,4,0,0,4,4
b*yx,11,11,11,11,11
b2*am,1,1,1,0,1
b2*o,1,1,1,0,1
b2*of,2,3,2,0,3
b2*om,1,1,1,0,1
b2*y,6,7,6,0,7
b2i,1,53,52,0,53
b2ij,0,4,4,0,4
b2u,0,1,1,0,1
b2y,1,2,2,0,2
b3*a,45,55,58,0,55
b3*aT,4,4,4,0,4
b3*af,2,0,0,0,0
b3*al,6,6,3,0,6
b3*at,9,1,1,0,1
b3*e,206,282,282,0,206
b3*es,76,0,0,0,76
b3*i,39,43,43,0,43
b3*iT,12,12,12,0,12
b3*if,1,1,1,0,1
b3*il,21,21,21,0,21
b3*in,3,0,0,0,0
b3*it,2,1,1,0,1
b3*o,0,3,3,0,3
b3*on,3,0,0,0,0
b3Ni,0,1,1,0,1
b3i,38,238,238,0,122
b3ij,0,62,62,0,62
b3ik,0,1,1,0,1
b3im,0,57,57,0,57
b3is,0,0,0,0,116
b3istf,0,3,3,0,3
b3ix,0,15,15,0,15
b3n@,0,2,2,0,0
b3n@S,0,0,0,0,2
b3n@ST,0,1,1,0,1
b3u,0,9,9,0,9
b4*a,4,7,7,0,5
b4*aS,2,1,1,0,2
b4*aj,1,0,0,0,1
b4*at,1,0,0,0,0
b4*i,1,1,1,0,1
b4*o,8,12,13,6,12
b4*ol,5,5,4,4,5
b4*on,4,0,0,0,0
b4*u,1,1,1,0,1
b4i,6,22,22,2,22
b4i7,0,1,1,0,1
b4ik,0,1,1,0,1
b4it,0,2,2,0,2
b4u,0,2,2,0,2
b4ut,0,2,2,0,2
b5*a,3,3,3,0,3
b5*aT,2,2,2,0,2
b5*e,9,9,9,0,9
b5*o,1,2,2,0,2
b5*on,1,0,0,0,0
b5*y,0,2,2,0,2
b5@,0,16,16,0,16
b5i,6,6,6,0,6
b5y,2,2,2,0,2
b6,2441,1792,2413,1780,1631
b64,0,0,0,3,3
b65,0,0,0,1,39
b67,0,0,0,4,5
b6L,0,418,0,417,507
b6Ls,0,0,0,1,1
b6R,0,87,0,80,80
b6b,0,0,0,14,0
b6d,0,0,0,11,0
b6j,0,0,0,57,55
b6js,0,0,0,0,2
b6k,0,0,0,6,0
b6l,0,68,0,58,70
b6lt,0,0,0,1,0
b6m,0,7,0,0,9
b6n,0,33,0,1,33
b6nk,0,0,0,3,0
b6r,0,42,0,18,46
b6s,0,0,0,11,26
b6t,0,0,0,3,0
b6z,0,0,0,10,0
b@,951,819,940,705,729
b@4,0,0,0,29,31
b@5,0,0,0,0,1
b@L,0,109,0,109,109
b@N,0,7,0,7,7
b@S,0,0,0,0,11
b@ST,12,12,12,12,12
b@f,30,30,30,30,30
b@j,56,39,39,53,56
b@k,20,20,20,24,20
b@l,0,9,0,9,9
b@m,55,59,52,54,60
b@r,30,39,30,74,80
b@s,0,0,0,0,11
b@t,2,2,2,27,2
b@x,22,15,13,18,17
b@z,0,0,0,10,0
bD*at,1,1,1,1,1
bD*e,2,2,2,2,2
bD*i,9,9,9,9,9
bDi,5,5,5,5,5
bL*a,61,75,72,67,70
bL*a7,3,1,1,1,3
bL*aT,4,5,4,5,5
bL*aj,3,0,0,3,3
bL*al,4,6,3,6,6
bL*am,2,2,2,2,2
bL*at,5,0,0,5,0
bL*ax,4,4,4,4,4
bL*e,247,320,310,276,293
bL*e4,1,0,0,1,0
bL*ed,24,0,0,22,0
bL*ej,65,55,55,65,55
bL*ejs,0,0,0,0,10
bL*em,45,44,44,44,44
bL*en,2,2,2,2,2
bL*ep,0,0,0,1,0
bL*es,17,0,0,0,17
bL*esk,6,6,6,6,6
bL*et,10,0,0,10,0
bL*i,116,244,245,223,162
bL*i4,22,0,0,22,3
bL*i5,27,0,0,0,0
bL*iN,1,1,0,0,1
bL*ik,1,1,1,1,1
bL*in,1,1,1,1,1
bL*is,82,3,3,3,82
bL*o,7,31,27,16,27
bL*of,2,0,0,0,2
bL*ok,2,0,0,2,0
bL*om,3,3,3,3,3
bL*on,16,6,3,17,6
bL*os,3,0,0,0,2
bL*ost,0,0,0,2,0
bL*u,41,51,44,48,51
bL*ud,3,0,0,3,0
bL*us,1,1,1,1,1
bL*ut,2,2,2,2,2
bLi,576,576,569,489,531
bLi2,0,0,0,1,1
bLiS,2,2,2,2,2
bLid,0,0,0,4,0
bLig,0,0,0,35,0
bLij,2,2,2,2,2
bLik,19,19,19,19,19
bLim,1,1,1,1,1
bLin,1,2,1,1,2
bLip,0,0,0,1,0
bLis,0,0,0,30,44
bLisk,3,0,0,3,0
bLit,0,0,0,4,0
bLiz,0,0,0,14,0
bLu,131,131,130,125,125
bLus,0,0,0,6,6
bM*ak,1,1,1,0,1
bM*e,30,32,32,0,32
bM*en,18,16,16,0,16
bM*o,1,1,1,0,1
bMi,11,11,12,0,11
bMir,0,1,0,0,1
bN*a,2,7,7,0,7
bN*af,5,2,2,0,2
bN*ak,3,3,3,0,3
bN*al,0,6,6,0,6
bN*at,1,1,1,0,1
bN*ej,1,1,1,1,1
bN*i,5,6,9,0,5
bN*i4,1,0,0,0,1
bN*il,1,1,1,0,1
bN*im,3,3,0,0,3
bN*o,0,3,3,0,3
bN*ot,3,0,0,0,0
bN*u,2,2,2,0,2
bNi,24,67,67,0,65
bNi2,0,1,1,0,1
bNij,1,3,3,0,5
bNik,0,8,8,0,8
bNim,0,2,2,0,2
bNit,0,8,8,0,8
bNu,0,1,1,0,1
bR*a,86,90,90,86,90
bR*aT,1,1,1,1,1
bR*ad,2,0,0,2,0
bR*ak,2,0,0,2,0
bR*at,4,4,4,4,4
bR*e,94,117,117,115,113
bR*e2,1,1,1,1,1
bR*e5,15,0,0,0,0
bR*e7,3,3,3,3,3
bR*ed,2,0,0,0,0
bR*ef,1,0,0,0,0
bR*ej,3,1,1,3,3
bR*ek,1,1,1,1,1
bR*el,10,10,10,10,10
bR*em,1,1,1,1,1
bR*ent,4,4,4,4,4
bR*es,5,3,3,3,5
bR*et,8,7,7,7,7
bR*i,24,41,45,34,31
bR*i4,1,0,0,1,0
bR*iT,2,2,2,2,2
bR*id,1,0,0,1,0
bR*il,6,6,2,7,6
bR*is,10,0,0,0,10
bR*ist,1,1,1,1,1
bR*it,9,4,4,9,4
bR*o,2,5,5,5,4
bR*o7,1,0,0,0,1
bR*ol,17,17,17,17,17
bR*om,2,2,2,2,2
bR*ov,2,0,0,0,0
bR*u,20,22,22,20,21
bR*u4,1,0,0,1,0
bR*uk,3,3,3,3,3
bR*us,1,0,0,0,1
bR*usk,0,0,0,1,0
bRi,329,332,329,324,314
bRiL,0,1,0,0,0
bRiT,1,1,1,1,1
bRik,2,2,2,2,2
bRil,3,3,3,3,3
bRin,1,1,1,1,1
bRis,0,0,0,10,10
bRit,1,1,1,1,1
bRiz,0,0,0,0,11
bRsKi,0,1,1,0,0
bRsKim,0,3,3,0,0
bRsKix,0,1,1,0,0
bRsk@,0,7,7,0,0
bRsk@j,0,2,2,0,0
bRsk@m,0,1,1,0,0
bRsku,0,1,1,0,0
bRu,7,7,7,6,4
bRu7,0,0,0,0,3
bRus,0,0,0,1,0
bV*e,5,9,10,0,9
bV*en,5,1,0,0,1
bV*i,31,31,31,0,31
bV*is,1,1,1,0,1
bVi,68,68,68,0,67
bVis,0,0,0,0,1
bd*a,0,1,1,0,0
bd*af,1,1,1,0,1
bd*aj,1,0,0,0,1
bd*u,4,4,4,0,4
bd6,2,2,2,0,2
bdu,1,1,1,0,1
be,5,4,5,4,5
beL,0,1,0,0,0
bek,0,0,0,1,0
bep,1,1,1,1,1
bf*a,1,1,1,0,1
bg*o,1,1,1,0,1
bg*on,1,1,1,0,1
bg6,4,4,4,0,4
bgl*o,2,2,2,0,2
bj*a,29,32,32,0,32
bj*aT,1,1,1,0,1
bj*at,3,0,0,0,0
bj*e,3,77,78,0,75
bj*eZ,1,0,0,0,1
bj*ek,72,0,0,0,0
bj*ekt,19,19,19,0,19
bj*el,1,1,0,0,1
bj*ez,1,0,0,0,1
bj*o,28,33,33,0,33
bj*om,26,21,21,0,21
bj@,102,102,102,0,102
bji,236,236,236,0,236
bkv6,1,0,1,0,0
bkv6r,0,1,0,0,0
bl*a,32,46,41,48,45
bl*a7,3,2,2,2,3
bl*ak,3,3,3,3,3
bl*an,3,3,0,0,3
bl*an7,0,0,0,2,0
bl*at,1,2,0,3,2
bl*az,4,0,0,0,0
bl*azn,1,1,1,1,1
bl*o,27,37,44,35,29
bl*o4,2,0,0,2,0
bl*o7,8,0,0,0,8
bl*ok,10,10,10,10,10
bl*om,7,7,0,7,7
bl*on,1,1,1,1,1
bl*ox,1,1,1,1,1
bl*u,4,12,12,10,6
bl*ud,1,0,0,1,0
bl*up,0,0,0,1,0
bl*us,6,0,0,0,6
bl*ut,1,0,0,0,0
bl6,239,235,239,211,221
bl6k,0,0,0,2,0
bl6n,0,4,0,0,4
bl6s,0,0,0,14,14
bl6t,0,0,0,3,0
bl6z,0,0,0,9,0
bl@,398,397,398,383,310
bl@4,0,0,0,15,7
bl@N,0,1,0,1,1
bl@S,1,1,1,1,82
bl@ST,21,21,21,21,21
bl@k,3,3,3,3,3
ble,1,1,1,1,1
blu,23,23,23,22,14
blu4,0,0,0,1,1
blu5,0,0,0,0,8
bly,4,4,4,4,4
bm*a,19,19,24,0,19
bm*aN,5,5,0,0,5
bm*an,8,8,8,0,8
bm*o,4,4,5,0,4
bm*ol,1,1,0,0,1
bm*y,2,2,2,0,2
bm6,16,16,16,0,16
bm@,1,4,4,0,4
bmu,2,1,2,0,1
bmuN,0,1,0,0,1
bmy,3,3,3,0,3
bn*a,4,4,4,0,4
bn*o,5,8,8,0,5
bn*of,2,0,0,0,2
bn*oj,1,1,1,0,1
bn*om,1,1,1,0,1
bn*os,1,0,0,0,1
bn*u,12,20,27,0,20
bn*uf,4,0,0,0,0
bn*ul,7,7,0,0,7
bn*ut,4,0,0,0,0
bn*y,1,1,1,0,1
bn*yx,3,3,3,0,3
bn6,182,270,268,0,270
bn@,23,212,210,0,137
bn@S,0,0,0,0,75
bn@ST,0,41,41,0,41
bn@j,2,49,48,0,49
bn@m,1,20,19,0,20
bnu,4,26,26,0,26
bnuT,0,5,5,0,5
bnut,0,3,3,0,3
bny,2,100,100,0,100
bnyj,2,46,46,0,46
bnym,1,27,27,0,27
bnyx,3,63,62,0,63
br*a,275,495,524,386,514
br*a4,4,0,0,4,0
br*aL,2,0,0,0,2
br*aT,61,61,61,61,62
br*ad,1,0,0,1,0
br*af,31,8,8,8,9
br*ak,6,6,6,6,6
br*al,51,51,28,51,53
br*an,8,9,0,7,8
br*ans,0,0,0,0,1
br*as,1,0,0,0,0
br*at,120,18,18,119,18
br*atst,0,0,0,1,0
br*az,85,0,0,4,0
br*ejk,1,1,1,1,1
br*o,136,156,162,151,154
br*o7,3,2,2,2,3
br*oF,2,2,2,2,2
br*oN,1,1,0,1,1
br*oS,6,3,3,3,6
br*ods,0,0,0,0,1
br*of,2,0,0,0,2
br*om,1,1,1,1,1
br*on,9,9,0,8,9
br*os,5,1,1,1,5
br*ot,6,2,0,8,2
br*u,11,12,12,11,12
br*uk,1,1,1,1,1
br*us,2,2,2,2,2
br*ut,1,0,0,1,0
br*y,8,23,24,22,10
br*y5,1,0,0,0,0
br*yf,5,1,1,1,5
br*yn,1,1,0,1,1
br*ys,1,1,1,1,1
br*yv,1,0,0,1,1
br*yz,9,0,0,0,10
br6,691,692,690,657,669
br6n,0,2,0,2,2
br6s,0,0,0,11,3
br6t,0,0,0,4,0
br6z,0,0,0,20,22
br@,407,390,390,388,404
br@S,0,0,0,0,3
br@ST,1,1,1,1,1
br@T,21,21,21,21,21
br@f,2,2,2,2,2
br@j,5,5,5,5,5
br@l,12,12,12,12,12
br@n,8,4,4,4,8
br@s,32,32,32,32,32
br@t,0,0,0,2,0
brd*o,1,1,1,1,1
bre,8,1,8,7,1
bred,0,0,0,1,0
bren,0,7,0,0,7
brn*o,1,1,1,1,1
bru,11,11,11,11,11
bry,21,21,21,21,21
bryj,14,14,14,14,14
brym,10,10,10,10,10
bryx,6,6,6,6,6
bstVi,4,229,229,0,0
bstv*a,2,2,2,0,0
bstv6,0,14,14,0,0
bstv@,0,18,18,0,0
bstv@m,0,1,1,0,0
bstvu,0,17,17,0,0
bu,799,729,748,735,704
bu5,0,0,0,0,53
bu7,0,0,0,4,39
buF,10,10,10,10,10
buL,0,12,0,0,13
buR,0,1,0,0,0
buT,223,223,223,223,223
bub,0,0,0,1,0
bud,0,0,0,10,0
buf,1,1,1,1,1
buj,6,6,6,14,14
bul,0,4,0,4,4
bun,0,3,0,0,3
bur,2,13,0,6,15
bus,7,7,7,7,17
buv,0,0,0,1,1
buz,0,0,0,0,1
bv*a,1,2,2,0,1
bv*aL,1,0,0,0,1
bv*al,1,1,1,0,1
bv*o,2,2,2,0,2
bv6,4,4,4,0,4
bx*a,1,5,5,0,1
bx*aj,1,1,1,1,1
bx*as,1,0,0,0,1
bx*az,3,0,0,0,3
bx*o,13,14,14,0,14
bx*od,1,0,0,0,0
bx*ot,2,2,2,0,2
bx6,227,227,227,0,227
bxv6,6,6,6,0,6
by,1075,1016,1011,985,1016
byL,17,18,17,17,21
byj,39,39,39,39,39
byk,0,0,0,51,0
byl,5,5,5,5,5
bym,19,19,19,19,19
bys,0,0,0,0,41
bysk,2,2,2,2,2
byx,28,28,28,28,28
bz*a,3,3,3,3,3
bz*a2,4,4,4,4,4
bz*o,6,6,6,6,6
bz*or,7,7,7,7,7
bz@,3,3,3,3,3
bzv*a,2,2,2,0,2
bzv6,1,1,1,0,1
bzy,1,1,1,1,1
d*a,2123,2818,3054,2365,3316
d*a4,80,23,23,81,27
d*a5,1,0,0,0,0
d*a7,12,18,12,13,18
d*aL,116,89,6,82,122
d*aN,9,13,4,5,9
d*aR,1,7,1,1,7
d*aT,175,175,175,189,267
d*af,43,12,12,16,20
d*ag,19,0,0,19,0
d*aj,30,19,19,33,34
d*ak,29,5,2,32,5
d*al,111,110,81,114,165
d*am,38,38,32,37,33
d*ams,0,0,0,0,6
d*an,200,14,6,202,19
d*ans,0,0,0,0,36
d*ant,0,2,0,0,2
d*ar,311,316,35,183,143
d*arm,0,0,0,1,1
d*ars,0,0,0,0,224
d*arst,0,0,0,128,0
d*arstf,10,10,10,10,10
d*art,0,4,0,0,4
d*as,18,1,1,1,18
d*ast,18,18,18,36,22
d*at,39,26,13,73,26
d*av,133,0,0,0,0
d*ax,40,40,40,40,41
d*e,55,60,65,56,60
d*eL,19,21,18,19,19
d*eN,2,2,0,2,2
d*ej,1,1,1,1,1
d*en,4,4,0,0,4
d*ep,1,0,0,1,0
d*er,2,0,0,2,2
d*ern,1,1,1,1,1
d*ev,0,0,0,7,0
d*evr,3,3,3,3,3
d*o,942,1397,1745,1320,1325
d*o4,48,20,20,48,48
d*o5,47,0,0,0,1
d*o7,10,0,0,0,6
d*o7T,10,10,10,10,10
d*oL,18,17,1,16,18
d*oN,10,17,10,10,10
d*ob,251,0,0,251,0
d*obr,6,6,6,6,6
d*obs,0,0,0,0,13
d*of,83,77,75,75,85
d*ofs,0,0,0,0,2
d*og,4,0,0,4,0
d*ogm,1,1,1,1,1
d*oj,92,92,91,92,99
d*oj4,1,1,1,1,1
d*ok,46,11,11,40,11
d*oks,2,2,2,2,2
d*ol,348,348,9,94,349
d*olk,13,13,13,13,13
d*om,108,109,107,108,109
d*oms,0,0,0,0,1
d*on,15,5,2,13,4
d*ons,1,1,1,1,2
d*opstf,1,1,1,1,1
d*or,23,19,14,21,22
d*ors,0,0,0,0,1
d*os,32,1,1,1,32
d*ot,1,0,0,0,0
d*ov,6,0,0,0,0
d*ox,2,0,0,2,0
d*oz,0,0,0,7,0
d*u,1096,1301,1306,1189,1396
d*u7,77,13,13,49,41
d*uN,1,3,1,1,1
d*uR,0,2,0,0,0
d*uS,0,0,0,1,1
d*uT,2,2,2,2,2
d*ubL,1,1,1,1,1
d*ug,48,0,0,48,0
d*uj,0,1,0,1,1
d*uk,49,0,0,49,0
d*ukt,11,11,11,11,11
d*ul,2,2,2,2,2
d*um,39,39,1,9,23
d*ums,0,0,0,0,17
d*un,0,1,0,1,1
d*uns,1,1,1,1,1
d*up,3,3,3,3,3
d*ur,9,6,4,9,8
d*urs,0,0,0,0,1
d*us,2,1,1,1,2
d*ut,95,90,90,134,122
d*ux,18,18,18,18,18
d*y,207,230,225,224,240
d*y4,1,0,0,1,0
d*y5,1,0,0,0,0
d*y7,8,0,0,3,5
d*yk,0,1,0,1,1
d*yl,1,1,0,1,1
d*ym,20,19,18,18,19
d*yn,0,1,0,1,0
d*yns,0,0,0,0,1
d*yr,12,12,5,12,12
d*yx,37,37,37,37,37
d2*a,40,42,42,0,42
d2*at,2,0,0,0,0
d2*e,3,3,3,0,3
d2*o,1,7,7,0,1
d2*of,8,5,5,0,5
d2*ofs,0,0,0,0,3
d2*om,8,8,8,0,8
d2*ov,3,0,0,0,3
d2*u,7,7,7,0,7
d2*y,4,4,4,0,4
d2@,22,81,80,0,81
d2@T,9,114,114,0,114
d2@f,4,10,9,0,10
d2@j,0,2,2,0,2
d2@m,3,8,8,0,8
d2@x,0,1,1,0,1
d2u,2,4,4,0,4
d2y,42,42,40,0,42
d2yn,0,1,0,0,1
d5*a,11,13,13,14,14
d5*af,3,1,1,1,1
d5*ak,9,9,9,9,9
d5*an,0,0,0,15,3
d5*ans,0,0,0,0,12
d5*as,2,2,2,2,2
d5*e,42,66,66,44,66
d5*ejms,1,1,1,1,1
d5*ejn,1,1,1,1,1
d5*ek,4,2,2,2,2
d5*em,1,1,1,1,1
d5*et,48,26,26,48,26
d5*o,2,3,3,2,2
d5*ojnt,1,1,1,1,1
d5*on,6,6,6,6,6
d5*ons,1,1,1,1,1
d5*or,1,0,0,1,1
d5*ort7,6,6,6,6,6
d5*u,0,0,3,0,0
d5*un,3,3,0,3,3
d5*y,1,6,15,13,6
d5*yf,3,0,0,0,0
d5*yk,1,0,0,1,0
d5*ym,1,1,1,1,1
d5*yn,11,10,1,2,10
d5*yp,3,3,3,3,3
d5@,1,1,0,1,1
d5@r,8,8,8,8,8
d5Ri,0,1,1,0,1
d5i,9,10,10,10,10
d5ij,0,1,1,1,1
d5r6,0,1,1,0,1
d5ry,0,1,1,0,1
d5y,26,21,26,20,20
d5yj,0,2,2,3,3
d5yn,0,5,0,0,5
d5yntL,0,0,0,5,0
d6,5160,4597,4866,4538,4335
d65,0,0,0,0,73
d65d,0,0,0,5,0
d67,0,0,0,22,7
d6L,0,5,0,5,57
d6Ls,0,0,0,0,1
d6fs,0,0,0,0,1
d6j,0,0,0,37,37
d6k,1,1,1,12,1
d6l,0,400,0,224,400
d6m,0,2,0,0,2
d6n,0,3,0,0,3
d6p,0,0,0,17,0
d6r,0,18,0,12,18
d6s,0,0,0,70,498
d6st,0,0,0,1,0
d6t,0,0,0,8,0
d6v,0,0,0,21,21
d6x,0,0,0,25,0
d6z,0,0,0,37,1
d@,2769,2486,2461,2305,2383
d@4,0,0,0,71,16
d@5,0,0,0,0,9
d@7,0,0,0,0,1
d@L,6,8,6,7,18
d@Ls,0,0,0,0,1
d@N,0,1,0,0,0
d@S,0,0,0,0,167
d@ST,36,36,28,36,36
d@T,8,8,8,8,8
d@b,0,0,0,10,0
d@dv,0,0,0,12,0
d@f,185,178,156,174,185
d@fs,0,0,0,0,2
d@g,0,0,0,12,0
d@j,123,69,50,54,124
d@k,108,100,99,110,108
d@l,39,65,28,40,76
d@m,341,330,294,327,345
d@ms,0,0,0,0,30
d@mst,0,0,0,8,0
d@mstf,7,7,7,7,7
d@n,56,14,10,13,53
d@r,2,4,2,7,9
d@s,0,0,0,2,133
d@st,1,1,1,2,1
d@t,0,0,0,1,0
d@v,0,0,0,2,2
d@x,55,50,41,48,55
d@z,0,0,0,14,0
dB*i,5,5,5,5,5
dB*iT,3,3,3,3,3
dB*il,3,3,3,3,3
dBi,45,60,58,60,60
dBi3,0,1,1,1,1
dBu,1,2,1,2,2
dD*e,48,173,287,0,48
dD*eL,125,0,0,0,125
dD*el,17,17,12,0,17
dD*er,109,57,0,0,57
dD*er7,0,52,0,0,52
dD*i,3,12,12,0,5
dD*ij,5,0,0,0,0
dD*ijs,0,0,0,0,5
dD*is,2,0,0,0,2
dD*iz,2,0,0,0,0
dD*izm,1,1,1,0,1
dD*o,0,2,2,0,0
dD*or,2,0,0,0,2
dDi,89,61,89,0,61
dDir,0,28,0,0,28
dF*e,0,1,0,0,1
dG*e,0,2,0,0,2
dGi,1,4,1,0,4
dL*a,306,306,306,302,306
dL*aT,1,1,1,0,1
dL*e,5,25,25,0,24
dL*e2,1,1,1,0,1
dL*e5,19,0,0,0,0
dL*es,1,0,0,0,1
dL*i,98,190,192,45,195
dL*iT,2,2,2,0,2
dL*if,2,0,0,0,0
dL*il,3,3,1,2,3
dL*in,79,0,0,79,0
dL*it,11,0,0,9,0
dLi,250,250,250,28,250
dLiT,2,2,2,0,2
dLif,3,3,3,0,3
dLil,3,3,3,0,3
dLit,1,1,1,0,1
dM*al,1,1,1,0,1
dM*e,62,69,69,0,66
dM*eS,3,0,0,0,3
dM*en,1,0,0,0,0
dM*et,27,24,24,0,24
dM*i,45,45,45,24,45
dM*o,0,1,1,0,1
dM*ot,1,0,0,0,0
dMi,109,109,109,0,109
dN*a,96,106,119,100,102
dN*a7,3,0,0,0,3
dN*aT,13,13,13,13,13
dN*af,9,8,8,8,8
dN*aj,1,0,0,1,1
dN*ak,1,1,1,1,1
dN*al,22,22,9,22,22
dN*am,3,3,3,3,3
dN*at,5,0,0,5,0
dN*ax,17,17,17,17,17
dN*e,33,84,85,82,82
dN*ef,3,0,0,0,0
dN*ej,52,50,50,52,52
dN*el,3,3,2,3,3
dN*ev,46,0,0,0,0
dN*i,96,96,96,96,96
dN*ik,5,5,5,5,5
dN*il,2,2,2,2,2
dN*im,67,67,67,67,67
dN*ix,17,17,17,17,17
dN*oj,2,2,2,2,2
dN*om,28,28,28,28,28
dN*os,2,2,2,2,2
dN*u,10,10,10,10,10
dNi,179,768,770,709,768
dNi2,0,1,1,1,1
dNi4,0,0,0,4,0
dNi7,0,0,0,53,0
dNiN,0,4,0,4,4
dNij,0,126,126,126,126
dNik,1,28,28,28,28
dNil,0,2,2,2,2
dNim,0,63,63,63,63
dNir,1,1,0,1,1
dNis,0,0,0,2,0
dNix,0,66,66,66,66
dNu,0,25,25,25,25
dR*a,22,25,26,2,25
dR*a7,1,0,0,0,1
dR*aN,3,3,3,3,3
dR*ad,2,0,0,0,0
dR*al,1,1,0,0,1
dR*at,14,14,14,0,14
dR*ax,1,1,1,0,2
dR*e,22,104,78,63,106
dR*e2,1,1,1,0,1
dR*ej,0,27,0,0,27
dR*es,1,1,1,0,1
dR*ev,56,0,0,0,0
dR*i,4,7,11,0,7
dR*iT,5,5,5,0,5
dR*if,2,0,0,0,0
dR*il,5,5,1,0,5
dR*it,1,0,0,0,0
dR*o,7,7,7,7,7
dR*u,0,2,0,0,5
dRi,136,134,131,47,136
dRiS,1,1,1,0,1
dRiT,1,1,1,0,1
dRij,0,0,0,1,1
dRis,16,16,16,3,16
dRit,1,1,1,0,1
dRix,3,3,3,0,3
dV*e,145,153,195,171,147
dV*eR,28,37,28,28,28
dV*eS,9,0,0,0,9
dV*eT,6,6,6,6,6
dV*er,34,33,0,21,34
dV*erk,1,1,1,2,1
dV*es,7,0,0,2,5
dV*i,158,203,204,203,204
dV*i5,40,0,0,0,0
dV*i7,4,0,0,0,4
dV*iN,1,1,0,1,1
dV*ig,1,0,0,0,0
dV*ol,5,5,5,5,5
dV*os,1,1,1,1,1
dVi,274,276,302,259,264
dVi7,0,0,0,0,1
dViR,0,0,0,1,1
dVik,0,6,6,6,6
dVir,0,26,0,38,38
dVis,0,0,0,4,4
dVju,0,1,1,0,1
dZ*e,0,8,8,8,8
dZ*em,8,0,0,0,0
dZ*en,1,1,1,1,1
dZ*i,0,0,0,1,1
dZi,5,6,6,6,6
db*a,4,12,12,0,6
db*af,6,0,0,0,6
db*an,2,0,0,0,0
db*o,29,55,59,0,29
db*oL,21,0,0,0,21
db*oj,1,1,1,0,1
db*ol,16,17,13,0,17
db*or,20,15,14,0,20
db*u,1,1,1,0,1
db*y,1,1,1,0,1
db*yT,1,1,1,0,1
db*yl,0,1,1,0,1
db6,27,27,27,0,27
dbLi,0,1,1,0,0
dbLis,0,0,0,0,1
dbLisk,0,3,3,0,3
dbR*il,1,1,1,0,1
dbRi,1,1,1,0,1
dbl@,1,1,1,0,1
dbr*a,10,10,10,10,10
dbr*o,12,13,13,13,13
dbr*ov,1,0,0,0,0
dbr6,1,1,1,1,1
dbu,1,1,1,0,1
dby,4,4,4,0,4
dd*a,9,13,16,0,12
