index,sm1,sm2,sm3,sm4,sm5
L*os,6,6,6,6,6
L*ot,48,35,35,50,35
L*ox,57,0,0,57,57
L*oz,2,0,0,1,0
L*u,376,480,482,410,468
L*u4,5,0,0,5,5
L*u7,1,0,0,0,1
L*uL,2,2,0,2,2
L*uS,1,1,1,3,1
L*ub,6,0,0,6,0
L*ud,6,0,0,6,0
L*uj,0,0,0,2,0
L*up,2,2,2,2,2
L*us,6,0,0,0,6
L*usk,1,1,1,1,1
L*ut,85,5,5,85,5
L2*a,12,0,12,12,0
L2*am,1,0,1,1,0
L2*e,6,0,6,6,0
L2*o,5,0,5,5,0
L2*of,5,0,5,5,0
L2*om,3,0,3,3,0
L2*u,2,0,2,2,0
L2*y,8,0,8,8,0
L2@,5,0,41,41,0
L2@f,0,0,32,32,0
L2@m,0,0,38,38,0
L2@x,0,0,7,7,0
L2i,0,0,19,19,0
L2ij,0,0,3,3,0
L2in,0,0,10,10,0
L2u,0,0,4,4,0
L2y,2,0,28,28,0
L3*a,1,0,4,0,0
L3*aT,1,0,1,0,0
L3*at,3,0,0,0,0
L3*e,2,0,2,0,0
L3*on,2,0,2,0,0
L3i,2,0,39,0,0
L3i2,0,0,1,0,0
L3ik,0,0,8,0,0
L4*a,5,0,12,0,0
L4*aj,7,0,0,0,0
L4*ak,1,0,1,0,0
L4*an,3,0,3,0,0
L4*i,6,0,16,0,0
L4*i7,10,0,0,0,0
L4*iT,1,0,1,0,0
L4*o,0,0,2,0,0
L4*on,2,0,0,0,0
L4*u,1,0,1,0,0
L4i,4,0,62,0,0
L4ik,0,0,25,0,0
L4u,1,0,1,0,0
L5*e,2,0,2,2,0
L6,2,2,2,2,2
L7*a,42,0,44,0,0
L7*o,83,0,83,0,0
L7*oj,96,0,96,0,0
L7*om,17,0,17,0,0
L7*u,20,0,22,0,0
L7*y,77,0,77,0,0
L7*ym,43,0,43,0,0
L7*yx,35,0,36,0,0
L7@,5,0,341,0,0
L7@j,0,0,23,0,0
L7@m,0,0,2,0,0
L7i,102,0,114,0,0
L7ij,0,0,6,0,0
L7im,0,0,4,0,0
L7t*a,2,0,2,0,0
L7t*am,2,0,2,0,0
L7u,0,0,16,0,0
LB*e,1,0,3,0,0
LB*er,2,0,0,0,0
LB*ert,2,0,2,0,0
LBi,0,0,1,0,0
LD*a,1,0,3,1,0
LD*aj,3,0,1,2,0
LD*ajst,0,0,0,1,0
LD*ej,1,0,1,1,0
LD*i,4,4,4,4,4
LD*in,1,1,1,1,1
LDi,0,0,4,4,0
LF*i,5,0,5,0,0
LF*in,1,0,1,0,0
LFi,0,0,3,0,0
LG*e,1,0,2,1,0
LG*en,1,0,0,1,0
LG*i,4,0,11,4,0
LG*ij,7,0,0,7,0
LG*in,1,0,1,1,0
LGi,1,0,4,4,0
LK*i,1,0,1,0,0
LKi,12,0,20,0,0
LKim,7,0,7,0,0
LKix,38,0,42,0,0
LM*e,5,5,5,0,0
LM*i,1,1,1,0,0
LMi,6,21,21,0,0
LN*a,1,5,5,5,0
LN*a7,4,0,0,0,0
LN*e,32,96,96,32,0
LN*ej,66,2,2,66,0
LN*i,32,40,40,32,0
LN*i4,8,0,0,8,0
LN*ot,2,2,2,2,1
LNi,72,212,212,212,3
LNi2,2,3,3,3,0
LNij,9,18,18,18,0
LNik,0,70,70,70,0
LNim,0,5,5,5,0
LNix,0,6,6,6,0
LNu,0,1,1,1,0
LP*i,0,0,9,0,0
LP*ij,9,0,0,0,0
LPi,1,0,1,0,0
LS*i,8,0,8,0,0
LS*in,1,0,1,0,0
LSi,4,0,8,0,0
LSij,0,0,1,0,0
LT*a,4,0,4,4,0
LT*an,3,0,3,3,0
LT*e,11,0,12,11,0
LT*et,8,0,7,8,0
LT*i,4,0,4,4,0
LTi,22,0,33,24,0
LTip,0,0,0,3,0
LTir,0,0,0,6,0
LV*e,1,0,2,1,0
LV*ej,1,0,0,1,0
LV*er,2,0,2,2,0
LV*i,10,3,10,10,3
LVi,1,0,1,1,0
LX*i,1,0,1,0,0
LZ*a,90,0,90,90,0
LZ*at,1,0,1,1,0
LZ*i,3,0,3,3,0
LZ*il,2,0,2,2,0
LZi,1,0,6,6,0
Lb*a,1,0,1,1,0
Lb*am,1,0,1,1,0
Lb*an,1,0,1,1,0
Lb*o,2,0,5,5,0
Lb*om,8,0,5,5,0
Lb*u,2,0,2,2,0
Lb*y,1,0,1,1,0
Ld*a,6,6,6,6,6
Ld*ar,5,0,5,5,0
Ld*ax,1,1,1,1,1
Ld*o,3,0,3,3,0
Ld*om,4,4,4,4,4
Ld*u,4,4,4,4,4
Ld6,0,0,2,2,0
LdF*e,1,0,1,0,0
Lde,0,0,1,1,0
Ldm*a,0,0,2,0,0
Ldm*ar,2,0,0,0,0
Lf*at,1,0,1,0,0
Lf6,0,0,4,0,0
Lf@m,0,0,1,0,0
LfR*et,2,0,2,0,0
Lfu,0,0,1,0,0
Lfy,0,0,1,0,0
Lg*a,2,0,7,2,0
Lg*ar,5,0,0,5,0
Lg*o,7,10,12,7,10
Lg*oj,1,0,1,1,0
Lg*ot,8,3,3,8,3
Lg*u,1,0,1,1,0
Lg6,0,0,11,11,0
Li,10977,10685,10977,11872,10488
Li2,32,32,32,32,32
Li3,3,3,3,4,3
Li4,0,0,0,17,0
Li7,3,3,3,5,3
LiN,7,162,7,162,159
LiR,0,1,0,0,0
LiS,1275,1275,1275,1280,1286
LiST,2,2,2,2,2
LiT,25,25,25,38,25
Lid,0,0,0,1,0
Lif,5,5,5,22,6
Lifs,0,0,0,0,10
Lig,0,0,0,14,0
Lij,458,458,458,515,495
Lijt,0,0,0,2,0
Lik,14,14,14,267,14
Liks,0,0,0,16,0
Lil,27,38,27,46,38
Lim,206,241,206,213,241
Lin,60,126,60,76,122
Ling,0,0,0,12,0
Link,0,0,0,1,0
Lins,0,0,0,0,5
Lip,0,0,0,11,0
Lips,1,1,1,1,1
Lir,0,24,0,27,24
Lis,22,22,22,63,130
Lisk,0,0,0,1,0
List,1,1,1,8,1
Lit,39,39,39,90,39
Lix,51,51,51,152,143
Liz,0,0,0,6,1
Lj*a,22,0,63,29,23
Lj*a5,1,0,0,0,0
Lj*an,39,0,0,33,12
Lj*ans,1,0,1,1,28
Lj*ar,1,0,0,1,1
Lj*art,1,0,1,1,1
Lj*e,14,0,15,14,14
Lj*eN,1,0,0,1,1
Lj*ef,1,0,1,1,1
Lj*i,2,0,4,4,2
Lj*i4,3,0,3,3,3
Lj*i7,2,0,0,0,2
Lj*o,22,4,27,22,27
Lj*om,6,0,6,6,6
Lj*ot,8,1,3,8,3
Lj*u,1,1,1,1,1
Lj@,42,0,42,41,42
Lj@f,5,0,5,5,5
Lj@j,1,0,1,1,1
Lj@m,1,0,1,1,1
Lj@t,0,0,0,1,0
Lji,30,0,30,30,30
Ljim,1,0,1,1,1
Ljix,8,0,8,8,8
Lju,79,0,77,79,77
Lk*a,17,0,19,0,0
Lk*af,2,0,0,0,0
Lk*o,1,0,1,0,0
Lk*of,1,0,1,0,0
Lk6,164,0,663,0,0
Lk@,2,0,12,0,0
Lk@j,0,0,3,0,0
Lk@l,0,0,1,0,0
Lk@m,0,0,3,0,0
Lk@x,1,0,1,0,0
LkN*ot,5,0,5,0,0
Lkl*o,1,0,2,0,0
Lkl*or,2,0,1,0,0
Lkn*u,13,0,16,0,0
Lkn*uf,3,0,0,0,0
Lkn*ul,1,0,1,0,0
Lku,3,0,66,0,0
Lm*a,8,8,16,0,0
Lm*an,9,9,1,0,0
Lm*ar,1,1,1,0,0
Lm*o,1,1,1,0,0
Lm*o7,1,1,1,0,0
Lm*om,1,1,1,0,0
Lm6,1,22,22,0,0
Lm@,0,3,3,0,0
Lm@f,0,15,15,0,0
Lm@m,0,5,5,0,0
Lm@x,0,3,3,0,0
Lmu,0,5,5,0,0
Lmy,0,21,21,0,0
Ln*a,10,10,10,10,0
Ln*o,40,40,40,40,0
Ln*oj,19,19,19,19,0
Ln*om,3,3,3,3,0
Ln*u,5,7,12,6,0
Ln*uf,1,0,0,0,0
Ln*ul,12,12,7,12,1
Ln*ut,2,1,1,2,0
Ln*y,55,57,57,57,0
Ln*ym,10,10,10,10,0
Ln*yx,27,27,27,27,0
Ln6,653,1163,1163,1163,0
Ln@,442,1126,1126,1126,0
Ln@ST,79,127,127,127,0
Ln@j,143,424,424,424,0
Ln@m,42,133,133,133,0
Lnu,56,163,163,163,0
Lny,211,592,592,592,0
Lnyj,141,401,401,401,0
Lnym,117,256,256,256,0
Lnyx,142,432,432,432,0
Lp*a,4,0,4,0,0
Lp*an,1,0,1,0,0
Lp*o,1,0,1,0,0
Lpt*u,7,0,9,0,0
Lpt*ur,2,0,0,0,0
Lpt@,0,0,3,0,0
Lpt@r,0,0,1,0,0
Ls*a,3,0,3,0,0
Ls*o,2,0,2,0,0
Ls6,6,0,7,0,0
Ls@,0,0,1,0,0
Ls@f,2,0,6,0,0
Ls@m,1,0,2,0,0
LsKi,19,0,33,0,0
LsKij,15,0,30,0,0
LsKim,6,0,13,0,0
LsKix,21,0,36,0,0
LsT*a,2,2,2,2,2
LsT*i,1,0,2,0,0
LsT*it,1,0,0,0,0
Lsk@,42,0,83,0,0
Lsk@j,26,0,39,0,0
Lsk@m,8,0,17,0,0
Lsku,6,0,8,0,0
Lst*art,1,0,1,1,0
LstVi,63,0,146,0,0
Lstv*a,2,0,2,0,0
Lstv6,253,0,286,0,0
Lstv@,15,0,20,0,0
Lstv@m,50,0,51,0,0
Lstv@x,14,0,14,0,0
Lstvu,58,0,63,0,0
Lsu,1,0,1,0,0
Lsy,3,0,5,0,0
Lt*a,133,0,141,0,0
Lt*an,5,0,0,0,0
Lt*ant,1,0,1,0,0
Lt*at,35,0,32,0,0
Lt*e,4,0,4,0,0
Lt*o,17,0,17,0,0
Lt*u,91,0,154,0,0
Lt*ur,71,0,8,0,0
Lt6,6,0,16,0,0
Lt7@r,0,0,1,0,0
Lt@,2,0,8,0,0
Lt@f,0,0,1,0,0
Lt@x,0,0,1,0,0
LtF*i,0,0,3,0,0
LtF*iL,3,0,0,0,0
LtF*iLm,1,0,1,0,0
Lte,6,0,6,0,0
Ltny,0,0,1,0,0
Ltnyx,0,0,1,0,0
Ltr*a,1,0,1,0,0
Ltr*u,1,0,1,0,0
Ltr6,2,0,3,0,0
Ltr@,4,0,4,0,0
Ltr@m,0,0,1,0,0
Ltru,1,0,1,0,0
LtsKij,0,0,1,0,0
Ltsk@,0,0,1,0,0
Ltsk@j,0,0,1,0,0
Ltu,1,0,1,0,0
Lty,0,0,3,0,0
Lu,1006,1005,1006,916,976
Lu7,0,0,0,0,3
LuD,0,0,0,30,0
LuS,1,1,1,1,3
LuST,1,1,1,1,1
Lub,0,0,0,30,0
Lud,0,0,0,19,0
Lun,0,1,0,0,1
Lus,0,0,0,0,23
Lut,0,0,0,19,0
Luz,0,0,0,0,1
Lv*a,15,2,17,15,2
Lv*ar,3,0,1,3,0
Lv*of,3,3,3,3,3
Lv*oks,1,0,1,1,0
Lv*y,2,2,2,2,2
Lx*u,1,0,1,0,0
Lz*a,8,0,8,0,0
Lz*am,3,0,3,0,0
Lz6,2,0,5,0,0
Lz@,0,0,212,0,0
Lz@j,0,0,2,0,0
LzN*i,1,0,1,0,0
Lzn*u,4,0,6,6,0
Lzn*uT,1,0,1,1,0
Lzn*uf,3,0,1,1,0
Lzn*ul,3,0,3,3,0
Lznu,2,0,2,2,0
Lzu,0,0,155,0,0
Lzy,0,0,10,0,0
M*a,171,251,259,191,207
M*a2,0,0,0,2,2
M*a4,6,6,6,6,6
M*aS,5,5,5,5,5
M*aT,1,1,1,1,1
M*aX,18,0,0,18,18
M*ak,0,0,0,1,0
M*al,4,4,2,5,4
M*an,22,11,5,24,13
M*ans,0,0,0,0,5
M*at,16,3,3,16,3
M*ax,38,0,0,38,38
M*e,1654,2798,3288,2686,2197
M*e2,64,1,1,64,64
M*e4,1,1,1,1,1
M*e5,139,0,0,0,139
M*e7,20,10,10,14,18
M*eL,21,11,2,8,21
M*eN,127,128,3,129,127
M*eS,64,0,0,0,64
M*eT,49,47,47,49,47
M*ed,16,0,0,106,0
M*ef,15,3,3,3,3
M*ej,73,7,7,88,53
M*ejs,0,0,0,0,26
M*ejst,0,0,0,1,0
M*el,126,126,53,127,126
M*en,469,237,23,309,240
M*ent,126,126,126,138,126
M*er,354,235,166,372,352
M*erk,0,0,0,1,0
M*ers,4,4,4,4,6
M*ert,0,0,0,12,0
M*ertf,4,4,4,4,4
M*erz,0,0,0,3,0
M*es,296,1,1,6,157
M*est,32,32,32,34,32
M*et,120,3,3,156,3
M*etr,9,9,9,9,9
M*ex,2,2,2,2,2
M*i,756,960,980,976,914
M*i4,11,0,0,14,0
M*i7,12,2,2,2,12
M*iL,6,4,3,3,7
M*iS,12,0,0,0,12
M*iT,6,6,6,20,20
M*if,8,6,6,6,6
M*ik,16,16,16,16,16
M*il,17,17,6,23,22
M*im,31,31,28,28,31
M*in,15,13,8,10,13
M*insk,1,1,1,1,1
M*ir,111,59,59,111,111
M*irt,1,1,1,1,1
M*is,83,1,1,53,29
M*ist,6,6,6,6,6
M*istr,1,1,1,1,1
M*it,38,18,18,41,19
M*ix,16,16,16,16,16
M*iz,11,0,0,11,0
M*izm,9,9,9,9,9
M*o,37,42,77,48,48
M*o7,0,0,0,4,6
M*ok,4,4,4,4,4
M*om,0,0,0,1,4
M*on,51,48,48,51,48
M*or,36,36,1,4,36
M*ors,1,1,1,1,1
M*ort,0,0,0,27,0
M*orz,0,0,0,3,0
M*ot,7,5,5,23,16
MDi,5,0,14,0,0
MTiS,0,0,1,0,0
Mi,11105,10402,10860,11150,10288
Mi2,8,8,8,8,8
Mi4,0,0,0,73,72
Mi5,0,0,0,2,72
Mi5z,0,0,0,6,0
Mi7,2,1,1,6,23
MiL,3,52,3,35,51
MiLk,0,0,0,17,0
MiN,12,64,12,64,64
MiS,3,3,3,3,8
MiT,34,30,30,34,34
Mid,0,0,0,18,0
Mig,0,0,0,1,0
Mij,13,10,10,13,13
Mik,21,20,20,26,21
Mil,6,25,6,26,26
Mim,5,10,4,8,12
Min,32,282,18,60,273
Mins,0,0,0,0,23
Mint,16,16,16,19,16
Mir,99,166,98,178,210
MirT,4,0,0,4,0
Mirs,0,0,0,0,3
